Date,Active Addresses 24h
2023-12-31T20:30:00.000Z,850153
2023-12-31T20:45:00.000Z,850153
2023-12-31T21:00:00.000Z,850907
2023-12-31T21:15:00.000Z,845462
2023-12-31T21:30:00.000Z,836465
2023-12-31T21:45:00.000Z,816538
2023-12-31T22:00:00.000Z,811252
2023-12-31T22:15:00.000Z,797205
2023-12-31T22:30:00.000Z,797463
2023-12-31T22:45:00.000Z,794638
2023-12-31T23:00:00.000Z,795187
2023-12-31T23:15:00.000Z,786163
2023-12-31T23:30:00.000Z,777189
2023-12-31T23:45:00.000Z,781906
2024-01-01T00:00:00.000Z,771485
2024-01-01T00:15:00.000Z,768417
2024-01-01T00:30:00.000Z,765372
2024-01-01T00:45:00.000Z,765385
2024-01-01T01:00:00.000Z,766934
2024-01-01T01:15:00.000Z,768635
2024-01-01T01:30:00.000Z,773722
2024-01-01T01:45:00.000Z,776157
2024-01-01T02:00:00.000Z,784038
2024-01-01T02:15:00.000Z,793905
2024-01-01T02:30:00.000Z,784712
2024-01-01T02:45:00.000Z,775527
2024-01-01T03:00:00.000Z,780849
2024-01-01T03:15:00.000Z,775326
2024-01-01T03:30:00.000Z,783407
2024-01-01T03:45:00.000Z,777959
2024-01-01T04:00:00.000Z,779994
2024-01-01T04:15:00.000Z,769715
2024-01-01T04:30:00.000Z,771254
2024-01-01T04:45:00.000Z,780003
2024-01-01T05:00:00.000Z,784242
2024-01-01T05:15:00.000Z,785286
2024-01-01T05:30:00.000Z,781500
2024-01-01T05:45:00.000Z,771197
2024-01-01T06:00:00.000Z,775678
2024-01-01T06:15:00.000Z,774504
2024-01-01T06:30:00.000Z,767222
2024-01-01T06:45:00.000Z,762380
2024-01-01T07:00:00.000Z,756869
2024-01-01T07:15:00.000Z,760750
2024-01-01T07:30:00.000Z,765148
2024-01-01T07:45:00.000Z,773293
2024-01-01T08:00:00.000Z,787252
2024-01-01T08:15:00.000Z,776639
2024-01-01T08:30:00.000Z,786508
2024-01-01T08:45:00.000Z,791618
2024-01-01T09:00:00.000Z,784707
2024-01-01T09:15:00.000Z,795345
2024-01-01T09:30:00.000Z,800044
2024-01-01T09:45:00.000Z,800882
2024-01-01T10:00:00.000Z,790801
2024-01-01T10:15:00.000Z,786125
2024-01-01T10:30:00.000Z,789216
2024-01-01T10:45:00.000Z,795819
2024-01-01T11:00:00.000Z,806215
2024-01-01T11:15:00.000Z,799454
2024-01-01T11:30:00.000Z,793826
2024-01-01T11:45:00.000Z,795140
2024-01-01T12:00:00.000Z,796127
2024-01-01T12:15:00.000Z,793844
2024-01-01T12:30:00.000Z,793401
2024-01-01T12:45:00.000Z,796536
2024-01-01T13:00:00.000Z,797985
2024-01-01T13:15:00.000Z,793534
2024-01-01T13:30:00.000Z,782487
2024-01-01T13:45:00.000Z,780717
2024-01-01T14:00:00.000Z,774485
2024-01-01T14:15:00.000Z,782133
2024-01-01T14:30:00.000Z,785507
2024-01-01T14:45:00.000Z,795964
2024-01-01T15:00:00.000Z,801184
2024-01-01T15:15:00.000Z,801184
2024-01-01T15:30:00.000Z,801796
2024-01-01T15:45:00.000Z,806992
2024-01-01T16:00:00.000Z,803025
2024-01-01T16:15:00.000Z,799196
2024-01-01T16:30:00.000Z,806186
2024-01-01T16:45:00.000Z,801527
2024-01-01T17:00:00.000Z,798362
2024-01-01T17:15:00.000Z,789426
2024-01-01T17:30:00.000Z,781082
2024-01-01T17:45:00.000Z,784321
2024-01-01T18:00:00.000Z,788257
2024-01-01T18:15:00.000Z,788301
