Date,Total Open Interest in USD
2023-12-31T20:30:00.000Z,7371197095.13699
2023-12-31T20:45:00.000Z,7367017648.761164
2023-12-31T21:00:00.000Z,7378561394.930862
2023-12-31T21:15:00.000Z,7379575295.1566725
2023-12-31T21:30:00.000Z,7367909708.780524
2023-12-31T21:45:00.000Z,7339687953.731555
2023-12-31T22:00:00.000Z,7323957144.118255
2023-12-31T22:15:00.000Z,7318760621.844285
2023-12-31T22:30:00.000Z,7321082016.925272
2023-12-31T22:45:00.000Z,7215528508.571229
2023-12-31T23:00:00.000Z,7235224184.538583
2023-12-31T23:15:00.000Z,7200671907.198733
2023-12-31T23:30:00.000Z,7213216935.293331
2023-12-31T23:45:00.000Z,7221943039.950838
2024-01-01T00:00:00.000Z,7255221142.655997
2024-01-01T00:15:00.000Z,7254089689.718668
2024-01-01T00:30:00.000Z,7234455760.860231
2024-01-01T00:45:00.000Z,7236857997.231949
2024-01-01T01:00:00.000Z,7235989889.104179
2024-01-01T01:15:00.000Z,7239180210.453379
2024-01-01T01:30:00.000Z,7281666024.654434
2024-01-01T01:45:00.000Z,7299464950.269573
2024-01-01T02:00:00.000Z,7270106465.201597
2024-01-01T02:15:00.000Z,7270066911.902766
2024-01-01T02:30:00.000Z,7267646760.433408
2024-01-01T02:45:00.000Z,7273281827.212845
2024-01-01T03:00:00.000Z,7271541308.627525
2024-01-01T03:15:00.000Z,7248419715.425867
2024-01-01T03:30:00.000Z,7237279647.187935
2024-01-01T03:45:00.000Z,7225701069.908203
2024-01-01T04:00:00.000Z,7231111769.186736
2024-01-01T04:15:00.000Z,7233132303.804516
2024-01-01T04:30:00.000Z,7247328855.376086
2024-01-01T04:45:00.000Z,7253277095.698913
2024-01-01T05:00:00.000Z,7253710051.439486
2024-01-01T05:15:00.000Z,7255088211.299251
2024-01-01T05:30:00.000Z,7227016685.542064
2024-01-01T05:45:00.000Z,7225279698.128393
2024-01-01T06:00:00.000Z,7229296537.005208
2024-01-01T06:15:00.000Z,7235393290.1519575
2024-01-01T06:30:00.000Z,7239991576.918761
2024-01-01T06:45:00.000Z,7235145049.518692
2024-01-01T07:00:00.000Z,7257191580.84776
2024-01-01T07:15:00.000Z,7260309556.577675
2024-01-01T07:30:00.000Z,7260707478.102699
2024-01-01T07:45:00.000Z,7258603130.058001
2024-01-01T08:00:00.000Z,7270455566.106298
2024-01-01T08:15:00.000Z,7267471340.396757
2024-01-01T08:30:00.000Z,7271733599.120059
2024-01-01T08:45:00.000Z,7288965525.767877
2024-01-01T09:00:00.000Z,7294039256.136473
2024-01-01T09:15:00.000Z,7322115549.216251
2024-01-01T09:30:00.000Z,7341596823.292402
2024-01-01T09:45:00.000Z,7345613029.479011
2024-01-01T10:00:00.000Z,7357561118.113878
2024-01-01T10:15:00.000Z,7360462870.762738
2024-01-01T10:30:00.000Z,7373525688.113226
2024-01-01T10:45:00.000Z,7401355745.339393
2024-01-01T11:00:00.000Z,7432277734.335466
2024-01-01T11:15:00.000Z,7419627372.231225
2024-01-01T11:30:00.000Z,7413283678.05078
2024-01-01T11:45:00.000Z,7412226454.723549
2024-01-01T12:00:00.000Z,7420070843.025093
2024-01-01T12:15:00.000Z,7435363800.758499
2024-01-01T12:30:00.000Z,7447463626.464336
2024-01-01T12:45:00.000Z,7418350326.31088
2024-01-01T13:00:00.000Z,7427088907.947797
2024-01-01T13:15:00.000Z,7433707628.998986
2024-01-01T13:30:00.000Z,7428349093.282921
2024-01-01T13:45:00.000Z,7432426897.453171
2024-01-01T14:00:00.000Z,7402142109.357638
2024-01-01T14:15:00.000Z,7397726846.474659
2024-01-01T14:30:00.000Z,7405481909.506922
2024-01-01T14:45:00.000Z,7381876032.735947
2024-01-01T15:00:00.000Z,7379562984.070307
2024-01-01T15:15:00.000Z,7393101903.198291
2024-01-01T15:30:00.000Z,7380464316.852031
2024-01-01T15:45:00.000Z,7402334882.980899
2024-01-01T16:00:00.000Z,7423056806.041154
2024-01-01T16:15:00.000Z,7402151568.214225
2024-01-01T16:30:00.000Z,7423235030.440707
2024-01-01T16:45:00.000Z,7418199179.657613
2024-01-01T17:00:00.000Z,7429139926.761396
2024-01-01T17:15:00.000Z,7424539448.673598
2024-01-01T17:30:00.000Z,7428016747.637116
2024-01-01T17:45:00.000Z,7432763228.052982
2024-01-01T18:00:00.000Z,7451486762.640741
2024-01-01T18:15:00.000Z,7435784603.674599
2024-01-01T18:30:00.000Z,7423443252.967779
2024-01-01T18:45:00.000Z,7459068994.452286
2024-01-01T19:00:00.000Z,7431258114.571513
2024-01-01T19:15:00.000Z,7451931140.351019
2024-01-01T19:30:00.000Z,7450958158.766064
2024-01-01T19:45:00.000Z,7491289593.373474
2024-01-01T20:00:00.000Z,7578382008.927417
2024-01-01T20:15:00.000Z,7613847220.952162
2024-01-01T20:30:00.000Z,7626900831.254266
2024-01-01T20:45:00.000Z,7640728734.403173
2024-01-01T21:00:00.000Z,7655472404.456812
2024-01-01T21:15:00.000Z,7668329028.250834
2024-01-01T21:30:00.000Z,7621904813.5945635
2024-01-01T21:45:00.000Z,7627071792.993185
2024-01-01T22:00:00.000Z,7617048078.520308
2024-01-01T22:15:00.000Z,7586170400.654189
2024-01-01T22:30:00.000Z,7616718310.912739
2024-01-01T22:45:00.000Z,7607119150.239299
2024-01-01T23:00:00.000Z,7639403922.189001
2024-01-01T23:15:00.000Z,7647625056.069529
2024-01-01T23:30:00.000Z,7656018054.906649
2024-01-01T23:45:00.000Z,7637284202.488795
2024-01-02T00:00:00.000Z,7648279541.659088
2024-01-02T00:15:00.000Z,7669786635.4305315
2024-01-02T00:30:00.000Z,7670369863.130009
2024-01-02T00:45:00.000Z,7744155089.468396
2024-01-02T01:00:00.000Z,7757119017.312177
2024-01-02T01:15:00.000Z,7681479048.0834255
2024-01-02T01:30:00.000Z,7684369733.9171715
2024-01-02T01:45:00.000Z,7655567222.228231
2024-01-02T02:00:00.000Z,7693697530.812197
2024-01-02T02:15:00.000Z,7745481172.983715
2024-01-02T02:30:00.000Z,7832293808.523218
2024-01-02T02:45:00.000Z,7904662209.314045
2024-01-02T03:00:00.000Z,7905241884.904887
2024-01-02T03:15:00.000Z,7968549878.80148
2024-01-02T03:30:00.000Z,8036918008.020951
2024-01-02T03:45:00.000Z,8045141223.208246
2024-01-02T04:00:00.000Z,8034141005.540647
2024-01-02T04:15:00.000Z,8079326411.865127
2024-01-02T04:30:00.000Z,8064105306.816469
2024-01-02T04:45:00.000Z,8054939195.935713
2024-01-02T05:00:00.000Z,8053037803.504615
2024-01-02T05:15:00.000Z,8055538503.327165
2024-01-02T05:30:00.000Z,8054519392.2207775
2024-01-02T05:45:00.000Z,8044792315.263578
2024-01-02T06:00:00.000Z,8048793240.642522
2024-01-02T06:15:00.000Z,8061154101.625617
