Date,Network Growth
2023-12-31T00:00:00.000Z,510485
2024-01-01T00:00:00.000Z,425831
2024-01-02T00:00:00.000Z,333063
2024-01-03T00:00:00.000Z,440788
2024-01-04T00:00:00.000Z,435159
2024-01-05T00:00:00.000Z,448329
2024-01-06T00:00:00.000Z,378848
2024-01-07T00:00:00.000Z,324621
2024-01-08T00:00:00.000Z,350112
2024-01-09T00:00:00.000Z,395072
2024-01-10T00:00:00.000Z,384291
2024-01-11T00:00:00.000Z,422447
2024-01-12T00:00:00.000Z,368243
2024-01-13T00:00:00.000Z,524981
2024-01-14T00:00:00.000Z,452008
2024-01-15T00:00:00.000Z,366125
2024-01-16T00:00:00.000Z,384461
2024-01-17T00:00:00.000Z,432559
2024-01-18T00:00:00.000Z,456372
2024-01-19T00:00:00.000Z,403477
2024-01-20T00:00:00.000Z,471135
2024-01-21T00:00:00.000Z,455150
2024-01-22T00:00:00.000Z,407038
2024-01-23T00:00:00.000Z,393312
2024-01-24T00:00:00.000Z,356799
2024-01-25T00:00:00.000Z,369253
2024-01-26T00:00:00.000Z,462773
2024-01-27T00:00:00.000Z,533174
2024-01-28T00:00:00.000Z,550360
2024-01-29T00:00:00.000Z,492680
2024-01-30T00:00:00.000Z,471514
2024-01-31T00:00:00.000Z,402065
2024-02-01T00:00:00.000Z,437686
2024-02-02T00:00:00.000Z,444150
2024-02-03T00:00:00.000Z,477258
2024-02-04T00:00:00.000Z,338621
2024-02-05T00:00:00.000Z,314440
2024-02-06T00:00:00.000Z,307727
2024-02-07T00:00:00.000Z,428107
2024-02-08T00:00:00.000Z,321161
2024-02-09T00:00:00.000Z,375326
2024-02-10T00:00:00.000Z,421905
2024-02-11T00:00:00.000Z,355524
2024-02-12T00:00:00.000Z,406591
2024-02-13T00:00:00.000Z,347844
2024-02-14T00:00:00.000Z,343861
2024-02-15T00:00:00.000Z,370494
2024-02-16T00:00:00.000Z,367561
2024-02-17T00:00:00.000Z,372473
2024-02-18T00:00:00.000Z,364397
2024-02-19T00:00:00.000Z,404100
2024-02-20T00:00:00.000Z,410575
2024-02-21T00:00:00.000Z,404078
2024-02-22T00:00:00.000Z,398704
2024-02-23T00:00:00.000Z,429947
2024-02-24T00:00:00.000Z,380786
2024-02-25T00:00:00.000Z,397749
2024-02-26T00:00:00.000Z,376688
2024-02-27T00:00:00.000Z,408809
2024-02-28T00:00:00.000Z,469562
2024-02-29T00:00:00.000Z,480616
2024-03-01T00:00:00.000Z,471845
2024-03-02T00:00:00.000Z,383788
2024-03-03T00:00:00.000Z,401551
2024-03-04T00:00:00.000Z,402668
2024-03-05T00:00:00.000Z,470204
2024-03-06T00:00:00.000Z,420291
2024-03-07T00:00:00.000Z,457646
2024-03-08T00:00:00.000Z,447855
2024-03-09T00:00:00.000Z,394106
2024-03-10T00:00:00.000Z,395653
2024-03-11T00:00:00.000Z,414522
2024-03-12T00:00:00.000Z,407154
2024-03-13T00:00:00.000Z,446107
2024-03-14T00:00:00.000Z,392564
2024-03-15T00:00:00.000Z,374697
2024-03-16T00:00:00.000Z,372218
2024-03-17T00:00:00.000Z,364904
2024-03-18T00:00:00.000Z,411772
