Date,Active Addresses 24h
2023-12-31T20:30:00.000Z,430933
2023-12-31T20:45:00.000Z,430892
2023-12-31T21:00:00.000Z,430074
2023-12-31T21:15:00.000Z,429680
2023-12-31T21:30:00.000Z,429150
2023-12-31T21:45:00.000Z,427840
2023-12-31T22:00:00.000Z,427391
2023-12-31T22:15:00.000Z,427133
2023-12-31T22:30:00.000Z,426625
2023-12-31T22:45:00.000Z,425788
2023-12-31T23:00:00.000Z,424924
2023-12-31T23:15:00.000Z,424084
2023-12-31T23:30:00.000Z,423042
2023-12-31T23:45:00.000Z,421638
2024-01-01T00:00:00.000Z,421842
2024-01-01T00:15:00.000Z,422230
2024-01-01T00:30:00.000Z,422398
2024-01-01T00:45:00.000Z,424646
2024-01-01T01:00:00.000Z,423602
2024-01-01T01:15:00.000Z,425938
2024-01-01T01:30:00.000Z,425658
2024-01-01T01:45:00.000Z,427818
2024-01-01T02:00:00.000Z,431500
2024-01-01T02:15:00.000Z,435450
2024-01-01T02:30:00.000Z,436162
2024-01-01T02:45:00.000Z,438491
2024-01-01T03:00:00.000Z,442961
2024-01-01T03:15:00.000Z,443814
2024-01-01T03:30:00.000Z,444520
2024-01-01T03:45:00.000Z,444786
2024-01-01T04:00:00.000Z,451743
2024-01-01T04:15:00.000Z,451233
2024-01-01T04:30:00.000Z,454326
2024-01-01T04:45:00.000Z,456875
2024-01-01T05:00:00.000Z,457274
2024-01-01T05:15:00.000Z,459495
2024-01-01T05:30:00.000Z,460321
2024-01-01T05:45:00.000Z,464121
2024-01-01T06:00:00.000Z,466761
2024-01-01T06:15:00.000Z,468723
2024-01-01T06:30:00.000Z,469633
2024-01-01T06:45:00.000Z,472885
2024-01-01T07:00:00.000Z,474374
2024-01-01T07:15:00.000Z,475357
2024-01-01T07:30:00.000Z,475763
2024-01-01T07:45:00.000Z,476958
2024-01-01T08:00:00.000Z,478209
2024-01-01T08:15:00.000Z,478128
2024-01-01T08:30:00.000Z,478592
2024-01-01T08:45:00.000Z,478629
2024-01-01T09:00:00.000Z,478411
2024-01-01T09:15:00.000Z,478595
2024-01-01T09:30:00.000Z,479118
2024-01-01T09:45:00.000Z,480562
2024-01-01T10:00:00.000Z,480905
2024-01-01T10:15:00.000Z,482516
2024-01-01T10:30:00.000Z,485977
2024-01-01T10:45:00.000Z,486594
2024-01-01T11:00:00.000Z,486322
2024-01-01T11:15:00.000Z,486052
2024-01-01T11:30:00.000Z,485593
2024-01-01T11:45:00.000Z,485613
2024-01-01T12:00:00.000Z,485446
2024-01-01T12:15:00.000Z,485361
2024-01-01T12:30:00.000Z,485037
2024-01-01T12:45:00.000Z,484937
2024-01-01T13:00:00.000Z,484548
2024-01-01T13:15:00.000Z,484016
2024-01-01T13:30:00.000Z,483688
2024-01-01T13:45:00.000Z,483647
2024-01-01T14:00:00.000Z,482998
2024-01-01T14:15:00.000Z,483139
2024-01-01T14:30:00.000Z,483167
2024-01-01T14:45:00.000Z,482915
2024-01-01T15:00:00.000Z,482550
2024-01-01T15:15:00.000Z,482652
2024-01-01T15:30:00.000Z,482578
2024-01-01T15:45:00.000Z,482005
2024-01-01T16:00:00.000Z,481788
2024-01-01T16:15:00.000Z,481970
2024-01-01T16:30:00.000Z,481757
2024-01-01T16:45:00.000Z,481442
2024-01-01T17:00:00.000Z,481418
2024-01-01T17:15:00.000Z,480290
2024-01-01T17:30:00.000Z,479683
2024-01-01T17:45:00.000Z,479246
2024-01-01T18:00:00.000Z,478657
2024-01-01T18:15:00.000Z,478514
2024-01-01T18:30:00.000Z,478485
2024-01-01T18:45:00.000Z,477921
2024-01-01T19:00:00.000Z,478128
2024-01-01T19:15:00.000Z,477931
2024-01-01T19:30:00.000Z,477887
2024-01-01T19:45:00.000Z,477859
2024-01-01T20:00:00.000Z,478081
2024-01-01T20:15:00.000Z,477804
2024-01-01T20:30:00.000Z,478218
2024-01-01T20:45:00.000Z,479070
2024-01-01T21:00:00.000Z,480302
