Date,Total Open Interest in USD
2023-12-31T20:30:00.000Z,3911077162.5262976
2023-12-31T20:45:00.000Z,3908137236.6466403
2023-12-31T21:00:00.000Z,3916285730.2374606
2023-12-31T21:15:00.000Z,3919613653.1324396
2023-12-31T21:30:00.000Z,3906909729.297218
2023-12-31T21:45:00.000Z,3879693151.004884
2023-12-31T22:00:00.000Z,3882667324.9520736
2023-12-31T22:15:00.000Z,3878524609.037591
2023-12-31T22:30:00.000Z,3880975458.906595
2023-12-31T22:45:00.000Z,3800610965.568104
2023-12-31T23:00:00.000Z,3828902387.693527
2023-12-31T23:15:00.000Z,3823075484.5944924
2023-12-31T23:30:00.000Z,3825214656.9713416
2023-12-31T23:45:00.000Z,3828818710.2140903
2024-01-01T00:00:00.000Z,3854354841.412889
2024-01-01T00:15:00.000Z,3862157129.0658135
2024-01-01T00:30:00.000Z,3861790283.13759
2024-01-01T00:45:00.000Z,3867448606.5010214
2024-01-01T01:00:00.000Z,3872332187.5775723
2024-01-01T01:15:00.000Z,3891322838.9075565
2024-01-01T01:30:00.000Z,3905551823.904221
2024-01-01T01:45:00.000Z,3914533922.443209
2024-01-01T02:00:00.000Z,3897244512.503151
2024-01-01T02:15:00.000Z,3889626030.1487064
2024-01-01T02:30:00.000Z,3888301802.3553214
2024-01-01T02:45:00.000Z,3880312253.906108
2024-01-01T03:00:00.000Z,3870143392.223887
2024-01-01T03:15:00.000Z,3847007487.01114
2024-01-01T03:30:00.000Z,3836968968.4837017
2024-01-01T03:45:00.000Z,3838005016.565219
2024-01-01T04:00:00.000Z,3851952470.672929
2024-01-01T04:15:00.000Z,3845867274.8366184
2024-01-01T04:30:00.000Z,3862679202.9719925
2024-01-01T04:45:00.000Z,3870675470.5163713
2024-01-01T05:00:00.000Z,3882557509.355105
2024-01-01T05:15:00.000Z,3887891856.7567635
2024-01-01T05:30:00.000Z,3890038848.258727
2024-01-01T05:45:00.000Z,3883270969.4670973
2024-01-01T06:00:00.000Z,3888648568.433229
2024-01-01T06:15:00.000Z,3897915258.484826
2024-01-01T06:30:00.000Z,3907246492.437332
2024-01-01T06:45:00.000Z,3914856115.218688
2024-01-01T07:00:00.000Z,3914329393.288725
2024-01-01T07:15:00.000Z,3913397201.5664577
2024-01-01T07:30:00.000Z,3912853620.3965287
2024-01-01T07:45:00.000Z,3911288587.355375
2024-01-01T08:00:00.000Z,3911606422.9881697
2024-01-01T08:15:00.000Z,3912332656.5604887
2024-01-01T08:30:00.000Z,3906891310.025113
2024-01-01T08:45:00.000Z,3913245927.2423525
2024-01-01T09:00:00.000Z,3909751131.9952755
2024-01-01T09:15:00.000Z,3906961129.480907
2024-01-01T09:30:00.000Z,3904848424.375634
2024-01-01T09:45:00.000Z,3911579888.121447
2024-01-01T10:00:00.000Z,3911716809.4983587
2024-01-01T10:15:00.000Z,3914222828.5216136
2024-01-01T10:30:00.000Z,3914374416.174014
2024-01-01T10:45:00.000Z,3912813885.6787987
2024-01-01T11:00:00.000Z,3921732131.8483987
2024-01-01T11:15:00.000Z,3918103076.944787
2024-01-01T11:30:00.000Z,3918528734.2561555
2024-01-01T11:45:00.000Z,3927590158.4618387
2024-01-01T12:00:00.000Z,3923898550.8704824
2024-01-01T12:15:00.000Z,3925025529.5303607
2024-01-01T12:30:00.000Z,3930369262.0129414
2024-01-01T12:45:00.000Z,3925450722.1609373
2024-01-01T13:00:00.000Z,3937847113.9303923
2024-01-01T13:15:00.000Z,3945408542.877771
2024-01-01T13:30:00.000Z,3944425374.5697083
2024-01-01T13:45:00.000Z,3946681514.750029
2024-01-01T14:00:00.000Z,3930249383.1069818
2024-01-01T14:15:00.000Z,3931435708.3195114
2024-01-01T14:30:00.000Z,3940933200.2029934
2024-01-01T14:45:00.000Z,3935971695.363507
2024-01-01T15:00:00.000Z,3937637004.3306236
2024-01-01T15:15:00.000Z,3951376050.834975
2024-01-01T15:30:00.000Z,3967958296.370703
2024-01-01T15:45:00.000Z,3975614717.1507063
2024-01-01T16:00:00.000Z,3991265317.6087976
2024-01-01T16:15:00.000Z,3982443259.6947026
2024-01-01T16:30:00.000Z,3999211463.418672
2024-01-01T16:45:00.000Z,3998654454.0265765
2024-01-01T17:00:00.000Z,4001955908.813656
2024-01-01T17:15:00.000Z,4002177610.481059
2024-01-01T17:30:00.000Z,3999864926.2475104
2024-01-01T17:45:00.000Z,3994853423.030795
2024-01-01T18:00:00.000Z,3998506354.93302
2024-01-01T18:15:00.000Z,4002391224.9721975
2024-01-01T18:30:00.000Z,3991352926.2937956
2024-01-01T18:45:00.000Z,3996782590.9917903
2024-01-01T19:00:00.000Z,3990025698.8911934
2024-01-01T19:15:00.000Z,3984417737.173908
2024-01-01T19:30:00.000Z,3987019422.955079
2024-01-01T19:45:00.000Z,3976891822.0738726
2024-01-01T20:00:00.000Z,3984467808.0809603
2024-01-01T20:15:00.000Z,3963507514.022306
2024-01-01T20:30:00.000Z,3955635738.818752
2024-01-01T20:45:00.000Z,3955773973.623536
2024-01-01T21:00:00.000Z,3965949760.871212
2024-01-01T21:15:00.000Z,3960540278.366106
2024-01-01T21:30:00.000Z,3957220533.4798284
2024-01-01T21:45:00.000Z,3953263344.0950346
2024-01-01T22:00:00.000Z,3944992688.4471617
2024-01-01T22:15:00.000Z,3922979288.640341
2024-01-01T22:30:00.000Z,3934217100.0782514
2024-01-01T22:45:00.000Z,3935707754.788918
2024-01-01T23:00:00.000Z,3954597881.0251575
2024-01-01T23:15:00.000Z,3969881405.8447104
2024-01-01T23:30:00.000Z,4000817554.208811
2024-01-01T23:45:00.000Z,4005777958.1208243
2024-01-02T00:00:00.000Z,4016343656.2597423
2024-01-02T00:15:00.000Z,4088877735.550189
2024-01-02T00:30:00.000Z,4121785921.738972
2024-01-02T00:45:00.000Z,4139514184.750815
2024-01-02T01:00:00.000Z,4154021968.9885664
2024-01-02T01:15:00.000Z,4167586615.530372
2024-01-02T01:30:00.000Z,4161643512.7688074
2024-01-02T01:45:00.000Z,4155937652.550679
2024-01-02T02:00:00.000Z,4156167428.4765205
2024-01-02T02:15:00.000Z,4162575230.603826
2024-01-02T02:30:00.000Z,4168818717.6574774
2024-01-02T02:45:00.000Z,4159768066.8897953
2024-01-02T03:00:00.000Z,4149735047.0184402
2024-01-02T03:15:00.000Z,4161082600.0984225
2024-01-02T03:30:00.000Z,4159164112.679652
2024-01-02T03:45:00.000Z,4196922774.7999682
2024-01-02T04:00:00.000Z,4172278002.2450995
2024-01-02T04:15:00.000Z,4170142045.0403366
2024-01-02T04:30:00.000Z,4176759112.5329127
2024-01-02T04:45:00.000Z,4194876196.845579
2024-01-02T05:00:00.000Z,4204350896.128132
2024-01-02T05:15:00.000Z,4203839735.6891212
2024-01-02T05:30:00.000Z,4196754029.959259
2024-01-02T05:45:00.000Z,4183468044.4147596
2024-01-02T06:00:00.000Z,4179757452.4610033
2024-01-02T06:15:00.000Z,4190326370.563497
2024-01-02T06:30:00.000Z,4183111372.359273
2024-01-02T06:45:00.000Z,4177763502.362106
2024-01-02T07:00:00.000Z,4186233153.3751917
2024-01-02T07:15:00.000Z,4182303767.7835436
2024-01-02T07:30:00.000Z,4182988176.58129
2024-01-02T07:45:00.000Z,4190308058.475888
2024-01-02T08:00:00.000Z,4187669296.0615816
2024-01-02T08:15:00.000Z,4256995135.59212
2024-01-02T08:30:00.000Z,4327853526.686069
2024-01-02T08:45:00.000Z,4351754749.229569
2024-01-02T09:00:00.000Z,4337689970.162025
2024-01-02T09:15:00.000Z,4339891362.988054
2024-01-02T09:30:00.000Z,4315747399.880132
2024-01-02T09:45:00.000Z,4325138817.525689
2024-01-02T10:00:00.000Z,4312891235.108418
2024-01-02T10:15:00.000Z,4309589388.728924
2024-01-02T10:30:00.000Z,4287653115.130964
