Date,Network Growth
2023-12-31T00:00:00.000Z,80028
2024-01-01T00:00:00.000Z,72942
2024-01-02T00:00:00.000Z,91746
2024-01-03T00:00:00.000Z,86423
2024-01-04T00:00:00.000Z,90339
2024-01-05T00:00:00.000Z,88868
2024-01-06T00:00:00.000Z,92311
2024-01-07T00:00:00.000Z,106596
2024-01-08T00:00:00.000Z,92049
2024-01-09T00:00:00.000Z,91194
2024-01-10T00:00:00.000Z,94459
2024-01-11T00:00:00.000Z,99140
2024-01-12T00:00:00.000Z,89787
2024-01-13T00:00:00.000Z,86894
2024-01-14T00:00:00.000Z,82463
2024-01-15T00:00:00.000Z,96349
2024-01-16T00:00:00.000Z,95041
2024-01-17T00:00:00.000Z,86806
2024-01-18T00:00:00.000Z,95399
2024-01-19T00:00:00.000Z,94781
2024-01-20T00:00:00.000Z,88762
2024-01-21T00:00:00.000Z,85545
2024-01-22T00:00:00.000Z,89608
2024-01-23T00:00:00.000Z,83442
2024-01-24T00:00:00.000Z,88629
2024-01-25T00:00:00.000Z,90598
2024-01-26T00:00:00.000Z,98074
2024-01-27T00:00:00.000Z,102000
2024-01-28T00:00:00.000Z,102342
2024-01-29T00:00:00.000Z,101173
2024-01-30T00:00:00.000Z,92885
2024-01-31T00:00:00.000Z,97281
2024-02-01T00:00:00.000Z,85046
2024-02-02T00:00:00.000Z,86618
2024-02-03T00:00:00.000Z,80833
2024-02-04T00:00:00.000Z,85720
2024-02-05T00:00:00.000Z,88000
2024-02-06T00:00:00.000Z,91656
2024-02-07T00:00:00.000Z,99127
2024-02-08T00:00:00.000Z,87955
2024-02-09T00:00:00.000Z,79530
2024-02-10T00:00:00.000Z,86735
2024-02-11T00:00:00.000Z,86672
2024-02-12T00:00:00.000Z,76630
2024-02-13T00:00:00.000Z,83354
2024-02-14T00:00:00.000Z,87069
2024-02-15T00:00:00.000Z,88825
2024-02-16T00:00:00.000Z,94788
2024-02-17T00:00:00.000Z,97776
2024-02-18T00:00:00.000Z,87191
2024-02-19T00:00:00.000Z,90559
2024-02-20T00:00:00.000Z,90117
2024-02-21T00:00:00.000Z,90767
2024-02-22T00:00:00.000Z,91563
2024-02-23T00:00:00.000Z,102190
2024-02-24T00:00:00.000Z,95625
2024-02-25T00:00:00.000Z,97916
2024-02-26T00:00:00.000Z,101462
2024-02-27T00:00:00.000Z,112405
2024-02-28T00:00:00.000Z,116246
2024-02-29T00:00:00.000Z,115888
2024-03-01T00:00:00.000Z,102983
2024-03-02T00:00:00.000Z,112282
2024-03-03T00:00:00.000Z,103756
2024-03-04T00:00:00.000Z,118788
2024-03-05T00:00:00.000Z,129328
2024-03-06T00:00:00.000Z,110454
2024-03-07T00:00:00.000Z,114870
2024-03-08T00:00:00.000Z,113309
2024-03-09T00:00:00.000Z,107224
2024-03-10T00:00:00.000Z,104416
2024-03-11T00:00:00.000Z,114732
2024-03-12T00:00:00.000Z,115861
2024-03-13T00:00:00.000Z,126066
2024-03-14T00:00:00.000Z,129314
2024-03-15T00:00:00.000Z,126789
2024-03-16T00:00:00.000Z,121566
2024-03-17T00:00:00.000Z,113275
2024-03-18T00:00:00.000Z,118784
2024-03-19T00:00:00.000Z,121309
2024-03-20T00:00:00.000Z,121438
2024-03-21T00:00:00.000Z,119919
2024-03-22T00:00:00.000Z,120406
2024-03-23T00:00:00.000Z,127948
2024-03-24T00:00:00.000Z,112987
2024-03-25T00:00:00.000Z,119039
2024-03-26T00:00:00.000Z,127711
2024-03-27T00:00:00.000Z,119776
2024-03-28T00:00:00.000Z,120609
2024-03-29T00:00:00.000Z,124850
2024-03-30T00:00:00.000Z,132121
2024-03-31T00:00:00.000Z,129074
2024-04-01T00:00:00.000Z,109804
2024-04-02T00:00:00.000Z,95783
2024-04-03T00:00:00.000Z,95304
2024-04-04T00:00:00.000Z,103267
2024-04-05T00:00:00.000Z,108338
2024-04-06T00:00:00.000Z,104538
2024-04-07T00:00:00.000Z,97516
2024-04-08T00:00:00.000Z,108719
2024-04-09T00:00:00.000Z,103195
2024-04-10T00:00:00.000Z,103523
2024-04-11T00:00:00.000Z,106502
2024-04-12T00:00:00.000Z,128391
2024-04-13T00:00:00.000Z,90572
2024-04-14T00:00:00.000Z,93968
2024-04-15T00:00:00.000Z,97935
2024-04-16T00:00:00.000Z,104901
2024-04-17T00:00:00.000Z,100269
2024-04-18T00:00:00.000Z,110547
2024-04-19T00:00:00.000Z,97061
2024-04-20T00:00:00.000Z,104641
2024-04-21T00:00:00.000Z,105875
2024-04-22T00:00:00.000Z,103120
2024-04-23T00:00:00.000Z,105322
2024-04-24T00:00:00.000Z,99843
2024-04-25T00:00:00.000Z,103907
2024-04-26T00:00:00.000Z,110001
2024-04-27T00:00:00.000Z,99665
2024-04-28T00:00:00.000Z,124125
2024-04-29T00:00:00.000Z,139049
2024-04-30T00:00:00.000Z,127405
2024-05-01T00:00:00.000Z,116291
2024-05-02T00:00:00.000Z,139176
2024-05-03T00:00:00.000Z,144653
2024-05-04T00:00:00.000Z,173742
2024-05-05T00:00:00.000Z,196701
2024-05-06T00:00:00.000Z,124877
2024-05-07T00:00:00.000Z,123002
2024-05-08T00:00:00.000Z,110367
2024-05-09T00:00:00.000Z,112343
2024-05-10T00:00:00.000Z,115288
2024-05-11T00:00:00.000Z,82872
2024-05-12T00:00:00.000Z,93628
2024-05-13T00:00:00.000Z,94604
2024-05-14T00:00:00.000Z,108730
2024-05-15T00:00:00.000Z,105139
2024-05-16T00:00:00.000Z,108948
2024-05-17T00:00:00.000Z,105854
2024-05-18T00:00:00.000Z,105897
2024-05-19T00:00:00.000Z,97960
2024-05-20T00:00:00.000Z,94932
2024-05-21T00:00:00.000Z,120550
2024-05-22T00:00:00.000Z,102726
2024-05-23T00:00:00.000Z,95257
2024-05-24T00:00:00.000Z,103092
