rule_index,old_tp,old_sl,old_capital_pct,new_tp,new_sl,new_capital_pct,changed_tp_sl,changed_capital,full_signals,train_signals,test_signals,hidden_signals,rest_signals,train_sum_net_pct,test_sum_net_pct,hidden_sum_net_pct,rest_sum_net_pct,conditions
1,2.0,1.0,12.5,2.0,1.0,10.0,False,True,18,3,1,4,10,-0.6000001430511475,1.7999999523162842,7.199999809265137,-6.0,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Strong Bearish AND [upside_semivol_20] IS Medium AND [vol_over_ema20] IS Very Low AND [dollar_vol_rel_20] IS Very Low AND [range_compression_20_100] IS Very Low
2,2.0,1.0,12.5,2.0,1.0,12.5,False,False,30,9,5,4,12,4.199999809265137,2.999999761581421,7.199999809265137,4.505489349365234,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [ret_autocorr_1_30] IS Weak Bullish AND [efficiency_ratio_20] IS Very Low
3,2.0,1.0,12.5,2.0,1.0,12.5,False,False,11,2,4,4,1,0.5999999046325684,7.199999809265137,7.199999809265137,-1.2000000476837158,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [roc_10] IS Bearish AND [atr_pct_14] IS Very High
4,2.0,1.0,12.5,2.0,1.0,12.5,False,False,26,8,7,4,7,5.399999618530273,3.5999996662139893,7.199999809265137,3.5999996662139893,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Strong Bearish AND [vol_ratio_20_100] IS Very High AND [atr_pct_14] IS Very High
5,2.0,1.0,12.5,2.0,1.0,12.5,False,False,9,4,0,4,1,7.199999809265137,0.0,7.199999809265137,1.7999999523162842,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Strong Bearish AND [vol_ratio_20_100] IS Low AND [atr_pct_14] IS Very High
6,2.0,1.0,12.5,2.0,1.0,8.0,False,True,9,0,3,4,2,0.0,-0.6000001430511475,7.199999809265137,-2.4000000953674316,[ema_gap_atr_20] IS Bullish AND [band_bb_percB_20_2] IS Weak Bearish AND [roc_10] IS Extreme Bullish AND [vol_over_ema20] IS Very Low
7,2.0,1.0,12.5,2.0,1.0,12.5,False,False,6,0,1,4,1,0.0,1.7999999523162842,7.199999809265137,-1.2000000476837158,[ema_gap_atr_20] IS Bullish AND [band_bb_percB_20_2] IS Weak Bearish AND [roc_10] IS Extreme Bullish AND [ema_slope_atr_20_5] IS Extreme Bullish
8,2.0,1.0,12.5,2.0,1.0,12.5,False,False,25,16,2,4,3,8.264492988586426,0.289800763130188,7.199999809265137,-0.6000001430511475,[channel_pos_20] IS Low AND [ema_gap_atr_20] IS Extreme Bullish AND [dollar_vol_rel_20] IS High AND [atr_pct_14] IS Very High
9,2.0,1.0,12.5,2.0,1.0,12.5,False,False,50,14,5,4,27,0.1981421709060669,1.3061363697052002,7.199999809265137,-10.459312438964844,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [ema_slope_atr_20_5] IS Strong Bullish AND [up_close_ratio_5] IS Very Low
10,2.0,1.0,12.5,2.0,1.0,6.0,False,True,14,1,3,4,6,-1.2000000476837158,-0.6000001430511475,7.199999809265137,-1.5518333911895752,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [realized_vol_20] IS High AND [close_location_value] IS Very Low
11,2.0,1.0,12.5,2.0,1.0,8.0,False,True,13,0,3,4,6,0.0,-3.6000001430511475,7.199999809265137,3.9624831676483154,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [realized_vol_20] IS High AND [tr_to_atr_14] IS Low
12,2.0,1.0,12.5,2.0,1.0,8.0,False,True,28,14,3,4,7,5.149890899658203,-3.6000001430511475,7.199999809265137,3.5999996662139893,[dmi_balance_14] IS Strong Bullish AND [ema_slope_atr_20_5] IS Extreme Bearish AND [downside_semivol_20] IS High AND [vol_ratio_20_100] IS Very High
13,2.0,1.0,12.5,2.0,1.0,10.0,False,True,13,2,0,4,7,-2.4000000953674316,0.0,7.199999809265137,-1.2179062366485596,[dmi_balance_14] IS Strong Bullish AND [ema_slope_atr_20_5] IS Extreme Bearish AND [downside_semivol_20] IS High AND [band_bb_percB_20_2] IS Extreme Bearish
14,2.0,1.0,12.5,2.0,1.0,12.5,False,False,17,6,0,4,7,0.8342082500457764,0.0,7.199999809265137,0.5999996662139893,[dmi_balance_14] IS Strong Bullish AND [ema_slope_atr_20_5] IS Extreme Bearish AND [downside_semivol_20] IS High AND [atr_pct_14] IS High
15,2.0,1.0,12.5,2.0,1.0,6.0,False,True,24,5,1,4,14,-2.384185791015625e-07,-1.2000000476837158,7.199999809265137,-1.8000006675720215,[channel_pos_20] IS Low AND [ema_gap_atr_20] IS Extreme Bullish AND [downside_semivol_20] IS High AND [atr_pct_14] IS Medium
16,2.0,1.0,12.5,2.0,1.0,6.0,False,True,29,6,3,4,16,-1.200000286102295,-2.8538990020751953,7.199999809265137,2.8362996578216553,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [up_close_ratio_5] IS Very Low AND [vol_ratio_20_100] IS Medium
17,2.0,1.0,12.5,2.0,1.0,10.0,False,True,14,4,1,4,5,-1.8000001907348633,1.7999999523162842,7.199999809265137,-3.000000238418579,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [ema_gap_atr_20] IS Neutral Positive AND [vol_ratio_20_100] IS Low
18,2.0,1.0,12.5,2.0,1.0,6.0,False,True,20,3,1,4,12,-0.6000001430511475,-0.051439184695482254,7.199999809265137,0.5999994277954102,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [ema_slope_atr_20_5] IS Extreme Bullish AND [vol_ratio_20_100] IS Low
19,2.0,1.0,12.5,2.0,1.0,12.5,False,False,27,6,3,5,13,1.799999713897705,2.3999998569488525,9.0,1.3129632472991943,[ema_gap_atr_20] IS Neutral Positive AND [band_bb_percB_20_2] IS Extreme Bearish AND [tr_to_atr_14] IS Low AND [dmi_balance_14] IS Extreme Bullish
20,2.0,1.0,12.5,2.0,1.0,8.0,False,True,41,13,4,6,18,2.3999993801116943,-0.493863582611084,10.800000190734863,-0.2650728225708008,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [vol_ratio_20_100] IS Medium AND [close_location_value] IS Very Low
21,2.0,1.0,12.5,2.0,1.0,12.5,False,False,31,8,8,6,9,2.3999996185302734,0.7061362266540527,10.800000190734863,-4.800000190734863,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [vol_ratio_20_100] IS Medium AND symbol is 7
22,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,0,5,0,0,0.0,9.0,0.0,0.0,[realized_vol_20] IS High AND [parkinson_vol_20] IS Very Low AND [efficiency_ratio_20] IS Very Low AND [downside_semivol_20] IS Very High AND [channel_pos_20] IS Very Low AND [vol_ratio_20_100] IS Very High AND [return_skew_30] IS Extreme Bearish AND [atr_pct_14] IS Very Low AND [ret_autocorr_1_30] IS Extreme Bearish AND [range_compression_20_100] IS High
23,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,0,5,0,0,0.0,9.0,0.0,0.0,[realized_vol_20] IS High AND [parkinson_vol_20] IS Very Low AND [ema_slope_atr_20_5] IS Extreme Bearish AND [downside_semivol_20] IS Very High AND [channel_pos_20] IS Very Low AND [vol_ratio_20_100] IS Very High
24,2.0,1.0,12.5,2.0,1.0,10.0,False,True,8,3,5,0,0,-0.8296219110488892,9.0,0.0,0.0,[parkinson_vol_20] IS High AND [atr_pct_14] IS Very Low AND [return_skew_30] IS Neutral Negative AND [up_close_ratio_5] IS Very High AND [vol_ratio_20_100] IS Very Low
25,2.0,1.0,12.5,2.0,1.0,10.0,False,True,24,2,5,2,15,-2.4000000953674316,9.0,0.5999999046325684,-5.999999046325684,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Strong Bearish AND [downside_semivol_20] IS Low AND [vol_over_median20] IS Very Low AND [vol_over_ema20] IS Very Low
26,2.0,1.0,12.5,2.0,1.0,10.0,False,True,19,6,5,0,8,-4.200000286102295,9.0,0.0,-0.29917144775390625,[parkinson_vol_20] IS High AND [atr_pct_14] IS Very Low AND [band_bb_percB_20_2] IS Neutral Positive AND [vol_ratio_20_100] IS Very Low
27,2.0,1.0,12.5,2.0,1.0,10.0,False,True,39,3,5,0,31,-1.1745350360870361,9.0,0.0,-25.95162010192871,[parkinson_vol_20] IS High AND [atr_pct_14] IS Very Low AND symbol is 5 AND [up_close_ratio_5] IS Very Low
28,2.0,1.0,12.5,2.0,1.0,6.0,False,True,23,7,5,4,7,-3.8657801151275635,9.0,-1.0482611656188965,-3.006146192550659,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [ret_autocorr_1_30] IS Strong Bullish AND [tr_to_atr_14] IS Very Low
29,2.0,1.0,12.5,2.0,1.0,12.5,False,False,37,16,5,0,16,1.7999992370605469,9.0,0.0,8.307994842529297,[parkinson_vol_20] IS High AND [atr_pct_14] IS Very Low AND [realized_vol_20] IS Very Low AND [close_location_value] IS Very High
30,2.0,1.0,12.5,2.0,1.0,8.0,False,True,28,12,5,1,10,13.989166259765625,9.0,-1.2000000476837158,-3.000000238418579,[parkinson_vol_20] IS High AND [atr_pct_14] IS Very Low AND [upside_semivol_20] IS High AND [vol_ratio_20_100] IS Very High
31,2.0,1.0,12.5,2.0,1.0,6.0,False,True,14,4,5,2,3,-4.800000190734863,9.0,-2.4000000953674316,-1.8624924421310425,[parkinson_vol_20] IS High AND [atr_pct_14] IS Very Low AND [upside_semivol_20] IS High AND [vol_over_median20] IS Very High
32,2.0,1.0,12.5,2.0,1.0,12.5,False,False,13,4,5,0,4,1.1999998092651367,9.0,0.0,4.199999809265137,[parkinson_vol_20] IS High AND [atr_pct_14] IS Very Low AND [upside_semivol_20] IS High AND [vol_over_median20] IS Low
33,2.0,1.0,12.5,2.0,1.0,6.0,False,True,11,3,5,1,2,-3.6000001430511475,9.0,-1.2000000476837158,3.5999999046325684,[parkinson_vol_20] IS High AND [atr_pct_14] IS Very Low AND [upside_semivol_20] IS High AND [range_compression_20_100] IS High
34,2.0,1.0,12.5,2.0,1.0,10.0,False,True,19,8,5,0,6,-6.600000381469727,9.0,0.0,0.42102372646331787,[parkinson_vol_20] IS High AND [realized_vol_20] IS Very Low AND symbol is 8 AND [channel_pos_20] IS Medium
35,2.0,1.0,12.5,2.0,1.0,10.0,False,True,11,6,5,0,0,-1.200000286102295,9.0,0.0,0.0,[parkinson_vol_20] IS High AND [realized_vol_20] IS Very Low AND symbol is 8 AND [atr_pct_14] IS Low
36,2.0,1.0,12.5,2.0,1.0,6.0,False,True,10,3,5,1,1,-3.6000001430511475,9.0,-1.2000000476837158,1.7999999523162842,[parkinson_vol_20] IS High AND [realized_vol_20] IS Very Low AND symbol is 8 AND [macd_hist_atr] IS Strong Bullish
37,2.0,1.0,12.5,2.0,1.0,12.5,False,False,24,11,5,2,6,6.669914245605469,9.0,0.5999999046325684,6.278254508972168,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [log_range_over_vol_100] IS Low AND [vol_ratio_20_100] IS Very High
38,2.0,1.0,12.5,2.0,1.0,10.0,False,True,43,8,5,6,24,-0.6000003814697266,9.0,4.799999713897705,1.1999988555908203,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND symbol is 8 AND [up_close_ratio_5] IS Very Low
39,2.0,1.0,12.5,2.0,1.0,12.5,False,False,41,10,5,3,23,9.0,9.0,2.3999998569488525,-3.6000006198883057,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Extreme Bearish AND [vol_ratio_20_100] IS Very High AND [range_compression_20_100] IS Very Low
40,2.0,1.0,12.5,2.0,1.0,12.5,False,False,32,7,5,2,18,1.5688321590423584,9.0,0.5999999046325684,-3.6000006198883057,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Extreme Bearish AND [vol_ratio_20_100] IS Very High AND [ema_gap_atr_20] IS Neutral Positive
