rule_index,old_tp,old_sl,old_capital_pct,new_tp,new_sl,new_capital_pct,changed_tp_sl,changed_capital,full_signals,train_signals,test_signals,hidden_signals,rest_signals,train_sum_net_pct,test_sum_net_pct,hidden_sum_net_pct,rest_sum_net_pct,conditions
1,2.0,1.0,12.5,3.5,1.0,6.0,True,True,23,3,2,4,14,-3.6000001430511475,-1.0938634872436523,13.199999809265137,-7.917549133300781,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Strong Bearish AND [close_location_value] IS Very Low AND [dmi_balance_14] IS Extreme Bullish AND [vol_over_median20] IS Very Low AND [range_compression_20_100] IS Very Low AND [mom_stoch_rsi_14_14_3] IS Very Low AND [log_range_over_vol_100] IS Very High AND [macd_hist_atr] IS Extreme Bearish AND [percent_b_20] IS Strong Bearish
2,2.0,1.0,12.5,3.5,1.25,10.0,True,True,18,3,1,4,10,-1.0192731618881226,2.707916021347046,13.199999809265137,-5.000000476837158,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Strong Bearish AND [upside_semivol_20] IS Medium AND [vol_over_ema20] IS Very Low AND [dollar_vol_rel_20] IS Very Low AND [range_compression_20_100] IS Very Low
3,2.0,1.0,12.5,2.5,1.25,6.0,True,True,29,8,2,4,15,-0.23571205139160156,-2.9000000953674316,9.199999809265137,4.500000953674316,[ema_gap_atr_20] IS Weak Bullish AND [band_bb_percB_20_2] IS Strong Bearish AND [downside_semivol_20] IS Medium AND [range_compression_20_100] IS Very Low AND [mom_stoch_rsi_14_14_3] IS Very Low
4,2.0,1.0,12.5,2.5,1.0,12.5,True,False,30,9,5,4,12,6.699999809265137,4.5,9.199999809265137,4.605487823486328,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [ret_autocorr_1_30] IS Weak Bullish AND [efficiency_ratio_20] IS Very Low
5,2.0,1.0,12.5,2.0,1.25,12.5,True,False,11,2,4,4,1,0.34999990463256836,7.199999809265137,7.199999809265137,-0.37772512435913086,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [roc_10] IS Bearish AND [atr_pct_14] IS Very High
6,2.0,1.0,12.5,2.0,1.5,6.0,True,True,18,5,1,4,8,-7.184124946594238,-0.13837668299674988,7.199999809265137,4.110352039337158,[dmi_balance_14] IS Strong Bullish AND [ema_gap_atr_20] IS Extreme Bearish AND [close_location_value] IS Low AND [up_close_ratio_5] IS Very Low
7,2.0,1.0,12.5,2.0,1.0,12.5,False,False,26,8,7,4,7,5.399999618530273,3.5999996662139893,7.199999809265137,3.5999996662139893,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Strong Bearish AND [vol_ratio_20_100] IS Very High AND [atr_pct_14] IS Very High
8,2.0,1.0,12.5,3.5,1.5,12.5,True,False,9,4,0,4,1,10.193366050720215,0.0,13.199999809265137,3.299999952316284,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Strong Bearish AND [vol_ratio_20_100] IS Low AND [atr_pct_14] IS Very High
9,2.0,1.0,12.5,3.5,2.0,12.5,True,False,9,0,3,4,2,0.0,2.285459041595459,7.699999809265137,1.0999999046325684,[ema_gap_atr_20] IS Bullish AND [band_bb_percB_20_2] IS Weak Bearish AND [roc_10] IS Extreme Bullish AND [vol_over_ema20] IS Very Low
10,2.0,1.0,12.5,3.5,1.0,12.5,True,False,6,0,1,4,1,0.0,3.299999952316284,8.699999809265137,-1.2000000476837158,[ema_gap_atr_20] IS Bullish AND [band_bb_percB_20_2] IS Weak Bearish AND [roc_10] IS Extreme Bullish AND [ema_slope_atr_20_5] IS Extreme Bullish
