Trade_Number,Direction,Rule_Index,Rule_TP,Rule_SL,Symbol,Entry_Time,Entry_Index,Symbol_Bar_Index,Entry_Price,Release_Index,Close_Time,Exit_Reason,Price_Return_Pct,Equity_Before_Entry,Capital_Pct,Round_Trip_Fee_Rate,Target_Position_Notional,Position_Notional,Margin_Used,Open_Total_Exposure_Before,Open_Symbol_Exposure_Before,Remaining_Total_Capacity,Gross_PnL,Fee,Net_PnL,Equity_Before_Close,Equity_After,Account_Return_Pct,High_Water_Mark,Drawdown_Pct,Account_Status,Realized
1,short,85,3.5,1.0,10,2024-01-01 14:05:00,499,49,0.6203,3379,2024-01-02 14:05:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,0.0,0.0,1000.0,-1.25,0.25,-1.5,1000.0,998.5,-0.14999999999999458,1000.0,0.15,ACTIVE,True
2,short,5,2.5,1.0,1,2024-01-02 01:05:00,1810,181,0.6357,4690,2024-01-03 01:05:00,TP,2.5,1000.0,12.5,0.002,125.0,125.0,125.0,125.0,0.0,875.0,3.125,0.25,2.875,998.5,1001.375,0.1374999999999904,1001.375,0.0,ACTIVE,True
3,short,5,2.5,1.0,1,2024-01-02 01:10:00,1820,182,0.6268,4700,2024-01-03 01:10:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,250.0,125.0,750.0,-1.25,0.25,-1.5,1001.375,999.875,-0.012500000000004174,1001.375,0.149794033204344,ACTIVE,True
4,short,5,2.5,1.0,3,2024-01-02 18:30:00,3902,390,310.5,6782,2024-01-03 18:30:00,SL,-1.0,998.5,12.5,0.002,124.8125,124.8125,124.8125,250.0,0.0,748.5,-1.248125,0.249625,-1.49775,999.875,998.37725,-0.1622750000000006,1001.375,0.2993633753588812,ACTIVE,True
5,short,8,5.0,3.0,5,2024-01-02 22:35:00,4394,439,0.091,7274,2024-01-03 22:35:00,TP,5.0,998.5,12.5,0.002,124.8125,124.8125,124.8125,374.8125,0.0,623.6875,6.2406250000000005,0.249625,5.9910000000000005,998.37725,1004.36825,0.43682499999999624,1004.36825,0.0,ACTIVE,True
6,short,8,5.0,3.0,5,2024-01-02 22:40:00,4404,440,0.09108,7284,2024-01-03 22:40:00,TP,5.0,998.5,12.5,0.002,124.8125,124.8125,124.8125,499.625,124.8125,498.875,6.2406250000000005,0.249625,5.9910000000000005,1004.36825,1010.35925,1.0359250000000042,1010.35925,0.0,ACTIVE,True
7,short,19,6.0,1.75,7,2024-01-03 13:00:00,6126,612,2227.51,9006,2024-01-04 13:00:00,Time_288,-0.2953971025943734,999.875,12.5,0.002,124.984375,124.984375,124.984375,374.4375,0.0,625.4375,-0.3692002224456864,0.24996875000000002,-0.6191689724456864,1010.35925,1009.7400810275543,0.9740081027554304,1010.35925,0.061282061053596903,ACTIVE,True
8,short,45,3.0,1.0,1,2024-01-03 13:30:00,6180,618,0.5556,9060,2024-01-04 13:30:00,TP,3.0,999.875,12.5,0.002,124.984375,124.984375,124.984375,499.421875,0.0,500.453125,3.74953125,0.24996875000000002,3.4995625,1009.7400810275543,1013.2396435275543,1.3239643527554357,1013.2396435275543,0.0,ACTIVE,True
9,short,9,2.5,1.5,2,2024-01-03 13:35:00,6191,619,37.23,9071,2024-01-04 13:35:00,TP,2.5,999.875,12.5,0.002,124.984375,124.984375,124.984375,624.40625,0.0,375.46875,3.1246093750000004,0.24996875000000002,2.8746406250000005,1013.2396435275543,1016.1142841525543,1.6114284152554337,1016.1142841525543,0.0,ACTIVE,True
10,short,9,2.5,1.5,6,2024-01-03 13:35:00,6195,619,7.62,9075,2024-01-04 13:35:00,TP,2.5,999.875,12.5,0.002,124.984375,124.984375,124.984375,749.390625,0.0,250.484375,3.1246093750000004,0.24996875000000002,2.8746406250000005,1016.1142841525543,1018.9889247775543,1.8988924777554317,1018.9889247775543,0.0,ACTIVE,True
11,short,33,2.0,1.75,8,2024-01-03 13:35:00,6197,619,99.29,9077,2024-01-04 13:35:00,TP,2.0,999.875,12.5,0.002,124.984375,124.984375,124.984375,874.375,0.0,125.5,2.4996875,0.24996875000000002,2.24971875,1018.9889247775543,1021.2386435275544,2.1238643527554446,1021.2386435275544,0.0,ACTIVE,True
12,short,21,3.5,1.0,2,2024-01-03 19:35:00,6911,691,36.46,9791,2024-01-04 19:35:00,SL,-1.0,998.37725,12.5,0.002,124.79715625,123.830375,123.830375,874.546875,124.984375,123.830375,-1.23830375,0.24766075,-1.4859645000000001,1021.2386435275544,1019.7526790275543,1.9752679027554398,1021.2386435275544,0.14550609785654176,ACTIVE,True
