Trade_Number,Direction,Rule_Index,Rule_TP,Rule_SL,Symbol,Entry_Time,Entry_Index,Symbol_Bar_Index,Entry_Price,Release_Index,Close_Time,Exit_Reason,Price_Return_Pct,Equity_Before_Entry,Capital_Pct,Round_Trip_Fee_Rate,Target_Position_Notional,Position_Notional,Margin_Used,Open_Total_Exposure_Before,Open_Symbol_Exposure_Before,Remaining_Total_Capacity,Gross_PnL,Fee,Net_PnL,Equity_Before_Close,Equity_After,Account_Return_Pct,High_Water_Mark,Drawdown_Pct,Account_Status,Realized
1,short,73,8.0,3.0,8,2024-01-01 01:40:00,207,20,104.34,3087,2024-01-02 01:40:00,SL,-3.0,1000.0,12.5,0.002,125.0,125.0,125.0,0.0,0.0,1000.0,-3.75,0.25,-4.0,1000.0,996.0,-0.40000000000000036,1000.0,0.4,ACTIVE,True
2,short,97,2.5,1.0,7,2024-01-01 02:25:00,296,29,2296.73,3176,2024-01-02 02:25:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,125.0,0.0,875.0,-1.25,0.25,-1.5,996.0,994.5,-0.5499999999999949,1000.0,0.5499999999999999,ACTIVE,True
3,short,97,2.5,1.0,7,2024-01-01 02:30:00,306,30,2298.11,3186,2024-01-02 02:30:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,250.0,125.0,750.0,-1.25,0.25,-1.5,994.5,993.0,-0.7000000000000006,1000.0,0.7000000000000001,ACTIVE,True
4,short,26,6.0,1.5,2,2024-01-01 04:20:00,521,52,38.23,3401,2024-01-02 04:20:00,SL,-1.5,1000.0,12.5,0.002,125.0,125.0,125.0,375.0,0.0,625.0,-1.875,0.25,-2.125,993.0,990.875,-0.912500000000005,1000.0,0.9125,ACTIVE,True
5,short,66,3.5,1.0,2,2024-01-01 04:50:00,581,58,38.31,3461,2024-01-02 04:50:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,500.0,125.0,500.0,-1.25,0.25,-1.5,990.875,989.375,-1.0624999999999996,1000.0,1.0625,ACTIVE,True
6,short,66,3.5,1.0,2,2024-01-01 04:55:00,591,59,38.21,3471,2024-01-02 04:55:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,625.0,250.0,375.0,-1.25,0.25,-1.5,989.375,987.875,-1.2125000000000052,1000.0,1.2125000000000001,ACTIVE,True
7,short,66,3.5,1.0,2,2024-01-01 05:00:00,601,60,38.19,3481,2024-01-02 05:00:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,750.0,375.0,250.0,-1.25,0.25,-1.5,987.875,986.375,-1.3624999999999998,1000.0,1.3625,ACTIVE,True
8,short,66,3.5,1.0,2,2024-01-01 05:05:00,611,61,38.29,3491,2024-01-02 05:05:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,875.0,500.0,125.0,-1.25,0.25,-1.5,986.375,984.875,-1.5125000000000055,1000.0,1.5125,ACTIVE,True
9,short,5,2.5,1.0,3,2024-01-02 18:30:00,5102,510,310.5,7982,2024-01-03 18:30:00,SL,-1.0,984.875,12.5,0.002,123.109375,123.109375,123.109375,0.0,0.0,984.875,-1.23109375,0.24621875000000001,-1.4773125,984.875,983.3976875,-1.6602312499999994,1000.0,1.6602312500000038,ACTIVE,True
10,short,8,5.0,3.0,5,2024-01-02 22:35:00,5594,559,0.091,8474,2024-01-03 22:35:00,TP,5.0,984.875,12.5,0.002,123.109375,123.109375,123.109375,123.109375,0.0,861.765625,6.155468750000001,0.24621875000000001,5.909250000000001,983.3976875,989.3069375,-1.0693062500000017,1000.0,1.0693062499999997,ACTIVE,True
