Trade_Number,Direction,Rule_Index,Rule_TP,Rule_SL,Symbol,Entry_Time,Entry_Index,Symbol_Bar_Index,Entry_Price,Release_Index,Close_Time,Exit_Reason,Price_Return_Pct,Equity_Before_Entry,Capital_Pct,Round_Trip_Fee_Rate,Target_Position_Notional,Position_Notional,Margin_Used,Open_Total_Exposure_Before,Open_Symbol_Exposure_Before,Remaining_Total_Capacity,Gross_PnL,Fee,Net_PnL,Equity_Before_Close,Equity_After,Account_Return_Pct,High_Water_Mark,Drawdown_Pct,Account_Status,Realized
1,short,73,3.5,1.0,8,2024-01-01 01:40:00,207,20,104.34,3087,2024-01-02 01:40:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,0.0,0.0,1000.0,-1.25,0.25,-1.5,1000.0,998.5,-0.14999999999999458,1000.0,0.15,ACTIVE,True
2,short,97,2.5,1.0,7,2024-01-01 02:25:00,296,29,2296.73,3176,2024-01-02 02:25:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,125.0,0.0,875.0,-1.25,0.25,-1.5,998.5,997.0,-0.30000000000000027,1000.0,0.3,ACTIVE,True
3,short,97,2.5,1.0,7,2024-01-01 02:30:00,306,30,2298.11,3186,2024-01-02 02:30:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,250.0,125.0,750.0,-1.25,0.25,-1.5,997.0,995.5,-0.44999999999999485,1000.0,0.44999999999999996,ACTIVE,True
4,short,26,3.5,1.0,2,2024-01-01 04:20:00,521,52,38.23,3401,2024-01-02 04:20:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,375.0,0.0,625.0,-1.25,0.25,-1.5,995.5,994.0,-0.6000000000000005,1000.0,0.6,ACTIVE,True
5,short,66,3.5,1.0,2,2024-01-01 04:50:00,581,58,38.31,3461,2024-01-02 04:50:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,500.0,125.0,500.0,-1.25,0.25,-1.5,994.0,992.5,-0.7499999999999951,1000.0,0.75,ACTIVE,True
6,short,66,3.5,1.0,2,2024-01-01 04:55:00,591,59,38.21,3471,2024-01-02 04:55:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,625.0,250.0,375.0,-1.25,0.25,-1.5,992.5,991.0,-0.9000000000000008,1000.0,0.8999999999999999,ACTIVE,True
7,short,66,3.5,1.0,2,2024-01-01 05:00:00,601,60,38.19,3481,2024-01-02 05:00:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,750.0,375.0,250.0,-1.25,0.25,-1.5,991.0,989.5,-1.0499999999999954,1000.0,1.05,ACTIVE,True
8,short,66,3.5,1.0,2,2024-01-01 05:05:00,611,61,38.29,3491,2024-01-02 05:05:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,875.0,500.0,125.0,-1.25,0.25,-1.5,989.5,988.0,-1.200000000000001,1000.0,1.2,ACTIVE,True
9,short,5,2.5,1.0,3,2024-01-02 18:30:00,5102,510,310.5,7982,2024-01-03 18:30:00,SL,-1.0,988.0,12.5,0.002,123.5,123.5,123.5,0.0,0.0,988.0,-1.235,0.247,-1.4820000000000002,988.0,986.518,-1.3481999999999994,1000.0,1.3481999999999972,ACTIVE,True
10,short,8,2.5,1.25,5,2024-01-02 22:35:00,5594,559,0.091,8474,2024-01-03 22:35:00,TP,2.5,988.0,12.5,0.002,123.5,123.5,123.5,123.5,0.0,864.5,3.0875000000000004,0.247,2.8405000000000005,986.518,989.3585,-1.064149999999997,1000.0,1.064149999999995,ACTIVE,True
