feature,fuzzy_value,split,num_trades,total_return_pct,win_rate,sharpe_ratio
amihud_illiquidity_20,Low,train,171,4.547640800476074,0.4269005847953216,0.07411076383826135
amihud_illiquidity_20,Very Low,train,439,23.793060302734375,0.489749430523918,0.15360308796669064
amihud_illiquidity_20,Medium,train,86,5.015146255493164,0.46511627906976744,0.1621769584552218
amihud_illiquidity_20,High,train,74,3.635166883468628,0.47297297297297297,0.127172925516721
amihud_illiquidity_20,Very High,train,97,3.0635199546813965,0.4639175257731959,0.08426325715120522
range_compression_20_100,Medium,train,123,13.381584167480469,0.5528455284552846,0.3002394101465808
range_compression_20_100,Low,train,147,1.473200798034668,0.42857142857142855,0.04249391888002469
range_compression_20_100,Very Low,train,291,9.698701858520508,0.4536082474226804,0.09046003805990298
range_compression_20_100,High,train,119,7.903414249420166,0.48739495798319327,0.1732740747093478
range_compression_20_100,Very High,train,187,7.5976362228393555,0.46524064171123,0.1182899587968982
dmi_balance_14,Bullish,train,18,1.455086588859558,0.5,0.1941641615074324
dmi_balance_14,Strong Bullish,train,346,19.492521286010742,0.47109826589595377,0.15481639910529402
dmi_balance_14,Neutral Positive,train,12,0.11478769779205322,0.4166666666666667,0.031519912867230306
dmi_balance_14,Weak Bearish,train,12,1.1881365776062012,0.5833333333333334,0.27540976995219063
dmi_balance_14,Extreme Bullish,train,156,10.107040405273438,0.5128205128205128,0.1929078186040364
dmi_balance_14,Bearish,train,11,0.9978163838386536,0.5454545454545454,0.1852668123383176
dmi_balance_14,Strong Bearish,train,8,-0.9332418441772461,0.25,-0.3267352189249935
dmi_balance_14,Weak Bullish,train,11,1.4541492462158203,0.6363636363636364,0.36493942483252867
dmi_balance_14,Neutral Negative,train,10,-0.5655218958854675,0.3,-0.20729753558548272
dmi_balance_14,Extreme Bearish,train,283,6.743759632110596,0.4452296819787986,0.06910354141057651
roc_10,Extreme Bullish,train,454,20.893701553344727,0.4669603524229075,0.1301128570953437
roc_10,Strong Bullish,train,71,-3.0527970790863037,0.352112676056338,-0.10916831097446629
roc_10,Weak Bullish,train,73,2.9287149906158447,0.4794520547945205,0.11971294848846872
roc_10,Bullish,train,81,3.3844313621520996,0.48148148148148145,0.11924636432436687
roc_10,Neutral Negative,train,53,6.260036468505859,0.5283018867924528,0.28932998056322357
roc_10,Bearish,train,16,1.646356463432312,0.5,0.19364916515030023
roc_10,Neutral Positive,train,64,3.869271993637085,0.515625,0.17507401058928682
roc_10,Weak Bearish,train,29,2.8278326988220215,0.5517241379310345,0.29723521643238
roc_10,Strong Bearish,train,10,-0.7738191485404968,0.3,-0.20701966989943796
roc_10,Extreme Bearish,train,16,2.070805788040161,0.5625,0.31716751343261984
rsi_centered_14,Extreme Bullish,train,340,23.992717742919922,0.5,0.19571219128635706
rsi_centered_14,Strong Bullish,train,108,3.763179063796997,0.4537037037037037,0.10022437697721379
rsi_centered_14,Bullish,train,71,6.206762313842773,0.5211267605633803,0.2325628071891582
rsi_centered_14,Weak Bullish,train,77,-0.10601270198822021,0.4155844155844156,-0.0033803431122926466
rsi_centered_14,Neutral Negative,train,78,0.33554530143737793,0.41025641025641024,0.021469410671826356
rsi_centered_14,Weak Bearish,train,60,5.018994331359863,0.5166666666666667,0.21697506947111506
rsi_centered_14,Bearish,train,26,0.11247658729553223,0.4230769230769231,0.04568860573545455
rsi_centered_14,Extreme Bearish,train,5,-0.750792384147644,0.2,-0.4472136212567968
rsi_centered_14,Neutral Positive,train,92,0.8731380105018616,0.43478260869565216,0.02476334695706475
rsi_centered_14,Strong Bearish,train,10,0.6085293889045715,0.5,0.1897366433208144
log_range_over_vol_100,Very Low,train,182,9.971758842468262,0.47802197802197804,0.15174424914081167
log_range_over_vol_100,Low,train,95,-4.365006923675537,0.35789473684210527,-0.12473853048610382
log_range_over_vol_100,Medium,train,242,13.397982597351074,0.48760330578512395,0.15404894387320878
log_range_over_vol_100,High,train,73,0.49978065490722656,0.410958904109589,0.02333716142247118
log_range_over_vol_100,Very High,train,275,20.550020217895508,0.5054545454545455,0.205762748840842
channel_pos_20,Very High,train,759,30.701000213623047,0.461133069828722,0.11301204083146102
channel_pos_20,High,train,54,8.404749870300293,0.6296296296296297,0.4267999832928859
channel_pos_20,Low,train,19,-0.46421289443969727,0.3684210526315789,-0.06371929677078662
channel_pos_20,Very Low,train,6,0.4287479519844055,0.5,0.18257418995201882
channel_pos_20,Medium,train,29,0.9842475652694702,0.4827586206896552,0.13023771315260432
open_gap_atr_14,Strong Negative,train,148,2.1192586421966553,0.42567567567567566,0.0314530515244738
open_gap_atr_14,Exactly Zero,train,471,20.994873046875,0.4692144373673036,0.12838930382602037
open_gap_atr_14,Strong Positive,train,130,7.965672016143799,0.5,0.16749692513139863
open_gap_atr_14,Weak Positive,train,42,6.966099262237549,0.6190476190476191,0.47245074193299513
open_gap_atr_14,Weak Negative,train,76,2.0086309909820557,0.4342105263157895,0.07035071635773729
close_location_value,High,train,108,4.63931131362915,0.4537037037037037,0.12377599710411574
close_location_value,Very High,train,354,10.798710823059082,0.4576271186440678,0.08751068567829681
close_location_value,Low,train,87,16.639833450317383,0.6781609195402298,0.5320389554738356
close_location_value,Very Low,train,193,1.3245327472686768,0.40932642487046633,0.034162174253708766
close_location_value,Medium,train,125,6.652144908905029,0.472,0.13195056421463008
body_signed_to_tr,Strong Bearish,train,28,-0.003076219465583563,0.42857142857142855,0.01595413251263529
body_signed_to_tr,Extreme Bullish,train,425,13.31019115447998,0.45647058823529413,0.09249408902894087
body_signed_to_tr,Bullish,train,59,3.6343271732330322,0.4745762711864407,0.15580815555608848
body_signed_to_tr,Bearish,train,30,3.140772819519043,0.5,0.26515039761750286
body_signed_to_tr,Weak Bearish,train,34,2.5672171115875244,0.5,0.19431952780305597
body_signed_to_tr,Strong Bullish,train,55,6.307114124298096,0.5454545454545454,0.2881594701723438
body_signed_to_tr,Neutral Negative,train,83,1.98809015750885,0.43373493975903615,0.06103101603937514
body_signed_to_tr,Extreme Bearish,train,71,-0.17652527987957,0.4084507042253521,0.012915027811984616
body_signed_to_tr,Weak Bullish,train,50,4.086582660675049,0.54,0.23308940347725202
body_signed_to_tr,Neutral Positive,train,32,5.1998395919799805,0.625,0.44874068468541045
lower_wick_to_tr,Very High,train,109,12.375603675842285,0.5596330275229358,0.291642682576139
lower_wick_to_tr,Low,train,279,8.463644027709961,0.45878136200716846,0.08182397133062712
lower_wick_to_tr,Very Low,train,285,7.584305763244629,0.4421052631578947,0.08593744629186488
lower_wick_to_tr,High,train,96,6.711496353149414,0.5,0.20097868479310418
lower_wick_to_tr,Medium,train,98,4.919483661651611,0.45918367346938777,0.13408106558284633
efficiency_ratio_20,Medium,train,90,11.002577781677246,0.5666666666666667,0.3370592743582073
efficiency_ratio_20,Very High,train,184,9.208819389343262,0.4782608695652174,0.1377544826434748
efficiency_ratio_20,High,train,77,7.349880218505859,0.5194805194805194,0.25260184949082615
efficiency_ratio_20,Low,train,106,-3.489149808883667,0.36792452830188677,-0.06974221936989677
efficiency_ratio_20,Very Low,train,410,15.982404708862305,0.4634146341463415,0.10897008324394876
up_close_ratio_5,Medium,train,289,23.736064910888672,0.5155709342560554,0.22527481839404495
up_close_ratio_5,Very High,train,530,16.773794174194336,0.4547169811320755,0.09100655471697781
up_close_ratio_5,Very Low,train,48,-0.45532533526420593,0.375,-0.028028075134169453
upper_wick_to_tr,Very Low,train,216,7.484368801116943,0.46296296296296297,0.10005555783772553
upper_wick_to_tr,Low,train,103,-1.9115122556686401,0.3883495145631068,-0.03626647789693073
upper_wick_to_tr,Very High,train,421,23.508968353271484,0.4750593824228028,0.15423761777308462
upper_wick_to_tr,Medium,train,74,7.029057502746582,0.5540540540540541,0.2494359750492125
upper_wick_to_tr,High,train,53,3.943650722503662,0.5094339622641509,0.1953700989273515
body_to_tr,Low,train,88,6.588534355163574,0.48863636363636365,0.19245666431473402
body_to_tr,Very High,train,270,1.745907187461853,0.4222222222222222,0.023506000640628712
body_to_tr,Very Low,train,259,18.13844871520996,0.4980694980694981,0.18790506458973175
body_to_tr,High,train,134,6.927126884460449,0.4925373134328358,0.15648925980420397
body_to_tr,Medium,train,116,6.654518127441406,0.4827586206896552,0.15904839474694538
mom_stoch_rsi_14_14_3,High,train,91,9.197675704956055,0.5384615384615384,0.2721332997720743
mom_stoch_rsi_14_14_3,Medium,train,73,3.775845766067505,0.4657534246575342,0.12631334764287172
mom_stoch_rsi_14_14_3,Very Low,train,121,8.499811172485352,0.512396694214876,0.19693487123862702
mom_stoch_rsi_14_14_3,Very High,train,501,3.258596658706665,0.42115768463073855,0.02389691478545566
mom_stoch_rsi_14_14_3,Low,train,81,15.32260513305664,0.6419753086419753,0.5345528303919721
inside_bar_compression,Very Low,train,827,39.08314514160156,0.47158403869407495,0.13244704743956665
inside_bar_compression,Very High,train,9,0.16215920448303223,0.4444444444444444,0.055435693403745656
inside_bar_compression,Medium,train,16,0.9779746532440186,0.5,0.12723784927799872
inside_bar_compression,Low,train,10,0.667180061340332,0.5,0.18904779307349545
inside_bar_compression,High,train,5,-0.8359241485595703,0.2,-0.44721358054451066
vol_of_vol_ratio_20,Very Low,train,277,12.877782821655273,0.4729241877256318,0.13607953512378593
vol_of_vol_ratio_20,Low,train,99,5.5000834465026855,0.494949494949495,0.15492789048355649
vol_of_vol_ratio_20,Medium,train,101,5.356701374053955,0.46534653465346537,0.14090404675995624
vol_of_vol_ratio_20,High,train,90,2.3708672523498535,0.43333333333333335,0.06315209733983945
vol_of_vol_ratio_20,Very High,train,300,13.9490966796875,0.47333333333333333,0.12942627737651166
macd_hist_atr,Strong Bullish,train,51,-1.8294602632522583,0.37254901960784315,-0.07831596662440186
macd_hist_atr,Bullish,train,48,8.187054634094238,0.6458333333333334,0.43812975371995166
macd_hist_atr,Weak Bullish,train,50,3.564795970916748,0.5,0.18561030246520901
macd_hist_atr,Neutral Negative,train,28,2.2300596237182617,0.5,0.19052291282539682
macd_hist_atr,Weak Bearish,train,15,0.4235604405403137,0.4,0.0345924982925393
macd_hist_atr,Strong Bearish,train,8,2.831195592880249,0.875,1.3416498948456739
macd_hist_atr,Bearish,train,16,-0.8831580281257629,0.375,-0.08250443978360293
macd_hist_atr,Neutral Positive,train,36,1.9635200500488281,0.4444444444444444,0.12060358981640645
macd_hist_atr,Extreme Bearish,train,124,15.725506782531738,0.5887096774193549,0.354928104823035
macd_hist_atr,Extreme Bullish,train,491,7.841460227966309,0.42973523421588594,0.0507689991661123
dollar_vol_rel_20,Very Low,train,393,14.981871604919434,0.4529262086513995,0.10621979891382242
dollar_vol_rel_20,Medium,train,117,7.6051859855651855,0.49572649572649574,0.17540011765411487
dollar_vol_rel_20,High,train,66,6.845695495605469,0.5454545454545454,0.2751989291794967
dollar_vol_rel_20,Low,train,130,3.2643985748291016,0.45384615384615384,0.08744216186183316
dollar_vol_rel_20,Very High,train,161,7.357381820678711,0.4782608695652174,0.12440288315025787
