direction,symbol,val_trades,val_return_pct,train_val_gap_pct,n_rules_selected,top_rule_condition_signature
long,10,19,2.2774,0.0,1,[drawdown_from_peak_60] IS Medium;[rsi_centered_14] IS Neutral Positive;[ret_vol_corr_30] IS Strong Bullish
long,4,53,4.0178,0.5711,1,[range_compression_20_100] IS Medium;[log_range_over_vol_100] IS Very Low;[ret_vol_corr_30] IS Bullish
long,5,28,3.6127,2.9735,1,[downside_semivol_20] IS Very Low;[open_gap_atr_14] IS Weak Positive;[vol_regime_pct_120] IS Very High
long,8,31,1.9907,0.0,1,[range_compression_20_100] IS Medium;[log_range_over_vol_100] IS Very Low;[ret_vol_corr_30] IS Bullish
long,9,37,6.1454,0.0,2,[amihud_illiquidity_20] IS Very High;[open_gap_atr_14] IS Weak Negative;[rsi_centered_14] IS Bullish
short,1,48,2.886,0.4112,2,[range_compression_20_100] IS Very High;[drawdown_from_peak_60] IS Very High;[percent_b_20] IS Neutral Positive
short,10,59,1.3717,0.0,1,[downside_semivol_20] IS Very High;[dmi_balance_14] IS Strong Bearish;[vol_over_median20] IS Medium
short,2,42,4.4582,6.786,2,[range_compression_20_100] IS Very High;[drawdown_from_peak_60] IS Very High;[percent_b_20] IS Neutral Positive
short,3,33,3.4835,0.1225,2,[downside_semivol_20] IS Very High;[dmi_balance_14] IS Strong Bearish;[vol_over_median20] IS Medium
short,4,17,1.6015,2.0647,2,[dmi_balance_14] IS Extreme Bullish;[drawdown_from_peak_60] IS Very High;[close_location_value] IS Low
short,5,16,3.8238,2.7924,2,[downside_semivol_20] IS Very High;[roc_10] IS Strong Bullish;[absret_ema_ratio_20_100] IS High
short,6,38,3.321,0.0,2,[bb_width_rel_20] IS Very High;[percent_b_20] IS Strong Bearish;[body_to_tr] IS High
short,7,16,3.7161,0.0,2,[roc_10] IS Strong Bullish;[rsi_centered_14] IS Extreme Bearish;[absret_ema_ratio_20_100] IS Very High
short,8,68,4.5703,2.7823,1,[bb_width_rel_20] IS Very High;[upper_wick_to_tr] IS Medium;[lower_wick_to_tr] IS Low
