feature,fuzzy_value,split,num_trades,total_return_pct,win_rate,sharpe_ratio
amihud_illiquidity_20,Low,train,47,-0.33521820600437885,0.425531914893617,-0.032433964424622465
amihud_illiquidity_20,Very Low,train,117,3.847980304601205,0.5470085470085471,0.17954502727594152
amihud_illiquidity_20,Medium,train,37,0.7816816093685621,0.5135135135135135,0.1262152915972018
amihud_illiquidity_20,High,train,193,-1.4600021222995525,0.5233160621761658,-0.052224913483175456
amihud_illiquidity_20,Very High,train,57,0.8172385081027026,0.5789473684210527,0.082937389902562
range_compression_20_100,Medium,train,21,0.3881989388856325,0.6190476190476191,0.10526436282325602
range_compression_20_100,Low,train,27,-0.7365562759869184,0.48148148148148145,-0.16730038251426085
range_compression_20_100,Very Low,train,30,0.20929024784125372,0.5666666666666667,0.04266002658211884
range_compression_20_100,High,train,310,4.920369222006657,0.5193548387096775,0.09157581458117678
range_compression_20_100,Very High,train,63,-1.1296220389780856,0.5238095238095238,-0.1289736998949623
downside_semivol_20,Very Low,train,83,-0.13640451122913716,0.5180722891566265,-0.014244167260015048
downside_semivol_20,Medium,train,56,0.8619781660255541,0.5535714285714286,0.08844697298573669
downside_semivol_20,Low,train,63,0.4733716018527364,0.5079365079365079,0.04547701510582892
downside_semivol_20,High,train,64,-0.8040286156275167,0.5,-0.07903090587487299
downside_semivol_20,Very High,train,185,3.256763452746904,0.5351351351351351,0.10339138131496799
drawdown_from_peak_60,Very Low,train,76,-3.0199833251839974,0.40789473684210525,-0.2755555528202234
drawdown_from_peak_60,Medium,train,60,1.964466327853556,0.6166666666666667,0.1918657173028336
drawdown_from_peak_60,Low,train,42,0.5177169405399581,0.5476190476190477,0.07844636735360982
drawdown_from_peak_60,High,train,59,1.949651750658852,0.576271186440678,0.19768256678564974
drawdown_from_peak_60,Very High,train,214,2.239828399900173,0.5233644859813084,0.06340261953201931
bb_width_rel_20,Low,train,46,-0.039160223295527485,0.4782608695652174,0.0016426327084821915
bb_width_rel_20,Very Low,train,106,2.09607825074848,0.5188679245283019,0.11725769141778684
bb_width_rel_20,Medium,train,42,1.7547504668601135,0.5714285714285714,0.22104002848230414
bb_width_rel_20,High,train,191,-1.2756930650452074,0.5445026178010471,-0.047277868461031824
bb_width_rel_20,Very High,train,66,1.1157046645006816,0.48484848484848486,0.09083919164241581
channel_pos_20,Very High,train,91,0.2094100362362285,0.5274725274725275,0.010956317624711427
channel_pos_20,High,train,47,0.5046054329165611,0.48936170212765956,0.05772695497842427
channel_pos_20,Low,train,82,-0.6052559195247196,0.5,-0.038363264952395434
channel_pos_20,Very Low,train,163,1.6927149628032978,0.5337423312883436,0.06012848836443556
channel_pos_20,Medium,train,68,1.8502055813371725,0.5588235294117647,0.16553276035406786
efficiency_ratio_20,Medium,train,61,0.4249089908463957,0.5081967213114754,0.03954830365394742
efficiency_ratio_20,Very High,train,122,-1.704111062889571,0.5,-0.08600540467774892
efficiency_ratio_20,High,train,67,0.9745900161897303,0.5373134328358209,0.09056511755961763
efficiency_ratio_20,Low,train,67,-2.157346636675592,0.3880597014925373,-0.18376278428565665
efficiency_ratio_20,Very Low,train,134,6.113638786297577,0.6194029850746269,0.27083842338988795
rsi_centered_14,Extreme Bullish,train,52,-1.2005565307517896,0.5,-0.16057950602780055
rsi_centered_14,Strong Bullish,train,11,1.0262874475083144,0.7272727272727273,0.5357611812086084
rsi_centered_14,Bullish,train,6,-0.2931452242753315,0.3333333333333333,-0.2906689678051039
rsi_centered_14,Weak Bullish,train,19,-0.22344813776383413,0.42105263157894735,-0.062334513130002184
rsi_centered_14,Neutral Negative,train,39,2.998246121321011,0.6923076923076923,0.4480201227651577
rsi_centered_14,Weak Bearish,train,38,-0.15230282221744024,0.5263157894736842,-0.02184449062298301
rsi_centered_14,Bearish,train,41,-0.8295041440982349,0.43902439024390244,-0.11891234147184727
rsi_centered_14,Extreme Bearish,train,180,1.1890187386702566,0.5277777777777778,0.04089996971483823
rsi_centered_14,Neutral Positive,train,20,1.277862026451073,0.65,0.3582863308009042
rsi_centered_14,Strong Bearish,train,45,-0.1407773810754842,0.4444444444444444,-0.01594833371357215
up_close_ratio_5,Medium,train,106,0.6300850424097372,0.5377358490566038,0.032031136847176324
up_close_ratio_5,Very High,train,202,0.3873390472221527,0.5099009900990099,0.011074593762644497
