feature,train_spearman,validation_spearman,test_spearman
amihud_illiquidity_20,-0.05431841081444097,-0.05090993864089756,0.059312521545813804
up_close_ratio_5,-0.046531021122476736,-0.04016878013017419,0.015043368484494933
sign_flip_rate_20,-0.037774034537164006,-0.01746532251691797,0.06728342033394973
bb_width_rel_20,0.03150118861532837,-0.016651568062591552,-0.09117020536631702
log_range_over_vol_100,-0.017371389045721528,0.006970629457105223,0.02681660502311736
vol_of_vol_ratio_20,-0.015140871539120082,-0.032227618486034545,0.13419855235161332
return_skew_30,0.014003789951716278,-0.02375466160933503,-0.030343383679782315
dmi_balance_14,0.013654833577451965,-0.016636046274575496,-0.014781757221715479
upper_wick_to_tr,0.01219041991240329,-0.009177534360107169,0.022664996874139063
range_compression_20_100,0.011430876594681685,-0.0003346810917725755,-0.019276700074146755
rsi_centered_14,0.01022311336215227,-0.014085482821113443,0.006760180210942306
body_to_tr,-0.008751275258876534,0.009628708942409213,0.02599130758882807
drawdown_from_peak_60,0.007974919005321896,0.005055107553071029,-0.06357243130049033
rsi_hidden_div_flag,0.005410925138818838,-0.006396949341619697,0.004387348662667144
mom_stoch_rsi_14_14_3,-0.005014380327787842,0.00031895782879502504,0.005246781446223149
efficiency_ratio_20,-0.0043885098466246815,-0.008764295172477182,0.017453859936665796
macd_hist_atr,-0.002253039024256761,0.0004687617639378525,0.002641829631966383
channel_pos_20,0.0020236773115981602,-0.011761938482195308,0.008838014543993414
volume_percentile_60,-0.0011883744359827005,0.0019225580492742075,-0.0018543402242456946
close_location_value,-0.0011679195191828268,0.003700187467905025,-0.011427521924335554
body_signed_to_tr,-0.0009908729622163208,0.00020398183239209468,0.007319554804709042
lower_wick_to_tr,0.0009703847694673763,-0.00815760070381082,-0.019113066794286676
