split,Rule_Index,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,profit_factor,tp_exits,sl_exits,time_exits
train,1,20,9,11,45.0,61.57381641924586,3.0786908209622927,2.5476681102825895,9,11,0
train,2,17,14,3,82.35294117647058,143.410865335467,8.435933255027471,4.547290775490405,11,3,3
train,3,6,5,1,83.33333333333334,46.38541457995156,7.730902429991926,29.368987943566623,5,1,0
train,4,16,8,8,50.0,-1.718373083776683,-0.10739831773604269,0.9626617383467534,8,7,1
train,5,10,7,3,70.0,9.209604867590267,0.9209604867590266,1.3070541706712522,7,3,0
train,6,9,7,2,77.77777777777779,50.18523719725433,5.576137466361592,6.293785833956416,7,1,1
train,7,6,5,1,83.33333333333334,30.321142765069077,5.053523794178179,2.908106401884544,4,1,1
train,8,4,3,1,75.0,31.122775771981832,7.780693942995458,7.458010258491026,3,1,0
train,9,8,3,5,37.5,-26.52417031828248,-3.31552128978531,0.22522718836600106,0,3,5
train,10,3,1,2,33.33333333333333,15.813151740594474,5.271050580198158,4.478080398778077,1,2,0
train,11,6,3,3,50.0,-7.0580236392007265,-1.1763372732001212,0.7668730321998406,3,3,0
train,12,5,5,0,100.0,75.50495206223965,15.100990412447931,inf,5,0,0
train,13,17,12,5,70.58823529411765,64.47923530477242,3.792896194398377,3.347441158838195,11,5,1
train,14,10,7,3,70.0,7.247152307414716,0.7247152307414716,1.309022512815744,7,2,1
train,15,30,10,20,33.33333333333333,34.9415910464063,1.1647197015468767,1.774104009798047,9,17,4
train,16,9,4,5,44.44444444444444,33.922516896625694,3.7691685440695215,2.871682497686805,4,5,0
train,17,5,4,1,80.0,30.651660490180213,6.1303320980360425,11.555493801644927,4,1,0
train,18,44,15,29,34.090909090909086,-26.27271665905424,-0.5971071967966872,0.7472746160220033,11,22,11
train,19,11,7,4,63.63636363636363,56.27931730704568,5.116301573367789,3.838282612412755,6,2,3
train,20,7,3,4,42.857142857142854,9.628637996675026,1.375519713810718,1.8652884369128493,3,1,3
train,21,4,2,2,50.0,11.503861469083326,2.8759653672708314,3.1896213228660053,2,2,0
train,22,42,18,24,42.857142857142854,24.440509019786326,0.581916881423484,1.2653614021879285,18,24,0
train,23,38,27,11,71.05263157894737,143.6515658102892,3.7803043634286637,3.2481339749483435,26,11,1
train,24,8,4,4,50.0,39.85894288165354,4.9823678602066925,3.9732786087857503,4,4,0
train,25,8,7,1,87.5,38.469566198697194,4.808695774837149,5.042732219701949,6,1,1
train,26,47,19,28,40.42553191489361,81.11510002485969,1.7258531920182911,1.8815055652536758,13,25,9
train,27,9,7,2,77.77777777777779,106.60585515425007,11.845095017138895,20.28837592991466,7,2,0
train,28,7,3,4,42.857142857142854,2.82261576625681,0.40323082375097286,1.1434197336900869,3,3,1
