Trade_Number,Direction,Rule_Index,Rule_TP,Rule_SL,Symbol,Entry_Time,Entry_Index,Symbol_Bar_Index,Entry_Price,Release_Index,Close_Time,Exit_Reason,Price_Return_Pct,Equity_Before_Entry,Capital_Pct,Round_Trip_Fee_Rate,Target_Position_Notional,Position_Notional,Margin_Used,Open_Total_Exposure_Before,Open_Symbol_Exposure_Before,Remaining_Total_Capacity,Gross_PnL,Fee,Net_PnL,Equity_Before_Close,Equity_After,Account_Return_Pct,High_Water_Mark,Drawdown_Pct,Account_Status,Realized
1,short,88,2.5,1.0,7,2024-01-01 02:25:00,296,29,2296.73,3176,2024-01-02 02:25:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,0.0,0.0,1000.0,-1.25,0.25,-1.5,1000.0,998.5,-0.14999999999999458,1000.0,0.15,ACTIVE,True
2,short,88,2.5,1.0,7,2024-01-01 02:30:00,306,30,2298.11,3186,2024-01-02 02:30:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,125.0,125.0,875.0,-1.25,0.25,-1.5,998.5,997.0,-0.30000000000000027,1000.0,0.3,ACTIVE,True
3,short,193,3.5,1.0,2,2024-01-01 04:20:00,521,52,38.23,3401,2024-01-02 04:20:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,250.0,0.0,750.0,-1.25,0.25,-1.5,997.0,995.5,-0.44999999999999485,1000.0,0.44999999999999996,ACTIVE,True
4,short,68,3.0,2.0,9,2024-01-01 06:40:00,808,80,0.10662,3688,2024-01-02 06:40:00,Time_288,-1.6601012943162574,1000.0,12.5,0.002,125.0,125.0,125.0,375.0,0.0,625.0,-2.0751266178953216,0.25,-2.3251266178953216,995.5,993.1748733821047,-0.6825126617895361,1000.0,0.6825126617895307,ACTIVE,True
5,short,220,2.0,1.0,5,2024-01-01 08:35:00,1034,103,0.08946,3914,2024-01-02 08:35:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,500.0,0.0,500.0,-1.25,0.25,-1.5,993.1748733821047,991.6748733821047,-0.8325126617895307,1000.0,0.8325126617895309,ACTIVE,True
6,short,18,2.0,1.0,10,2024-01-01 17:00:00,2049,204,0.6214,4929,2024-01-02 17:00:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,625.0,0.0,375.0,-1.25,0.25,-1.5,991.6748733821047,990.1748733821047,-0.9825126617895252,1000.0,0.9825126617895308,ACTIVE,True
7,short,186,2.0,1.0,1,2024-01-02 21:55:00,5510,551,0.6041,8390,2024-01-03 21:55:00,SL,-1.0,990.1748733821047,12.5,0.002,123.77185917276309,123.77185917276309,123.77185917276309,0.0,0.0,990.1748733821047,-1.237718591727631,0.2475437183455262,-1.4852623100731572,990.1748733821047,988.6896110720315,-1.1310388927968429,1000.0,1.131038892796846,ACTIVE,True
8,short,186,2.0,1.0,1,2024-01-02 22:05:00,5530,553,0.6067,8410,2024-01-03 22:05:00,SL,-1.0,990.1748733821047,12.5,0.002,123.77185917276309,123.77185917276309,123.77185917276309,123.77185917276309,123.77185917276309,866.4030142093416,-1.237718591727631,0.2475437183455262,-1.4852623100731572,988.6896110720315,987.2043487619584,-1.2795651238041605,1000.0,1.2795651238041614,ACTIVE,True
9,short,205,2.5,1.25,5,2024-01-02 22:35:00,5594,559,0.091,8474,2024-01-03 22:35:00,TP,2.5,990.1748733821047,12.5,0.002,123.77185917276309,123.77185917276309,123.77185917276309,247.54371834552617,0.0,742.6311550365785,3.0942964793190773,0.2475437183455262,2.8467527609735512,987.2043487619584,990.051101522932,-0.9948898477068036,1000.0,0.9948898477068042,ACTIVE,True
10,short,205,2.5,1.25,5,2024-01-02 22:40:00,5604,560,0.09108,8484,2024-01-03 22:40:00,TP,2.5,990.1748733821047,12.5,0.002,123.77185917276309,123.77185917276309,123.77185917276309,371.3155775182893,123.77185917276309,618.8592958638154,3.0942964793190773,0.2475437183455262,2.8467527609735512,990.051101522932,992.8978542839055,-0.7102145716094466,1000.0,0.7102145716094469,ACTIVE,True
