Trade_Number,Direction,Rule_Index,Rule_TP,Rule_SL,Symbol,Entry_Time,Entry_Index,Symbol_Bar_Index,Entry_Price,Release_Index,Close_Time,Exit_Reason,Price_Return_Pct,Equity_Before_Entry,Capital_Pct,Round_Trip_Fee_Rate,Target_Position_Notional,Position_Notional,Margin_Used,Open_Total_Exposure_Before,Open_Symbol_Exposure_Before,Remaining_Total_Capacity,Gross_PnL,Fee,Net_PnL,Equity_Before_Close,Equity_After,Account_Return_Pct,High_Water_Mark,Drawdown_Pct,Account_Status,Realized
1,short,4,2.5,1.25,5,2024-01-02 22:35:00,5594,559,0.091,8474,2024-01-03 22:35:00,TP,2.5,1000.0,12.5,0.002,125.0,125.0,125.0,0.0,0.0,1000.0,3.125,0.25,2.875,1000.0,1002.875,0.2874999999999961,1002.875,0.0,ACTIVE,True
2,short,4,2.5,1.25,5,2024-01-02 22:40:00,5604,560,0.09108,8484,2024-01-03 22:40:00,TP,2.5,1000.0,12.5,0.002,125.0,125.0,125.0,125.0,125.0,875.0,3.125,0.25,2.875,1002.875,1005.75,0.5749999999999922,1005.75,0.0,ACTIVE,True
3,short,5,2.5,1.5,7,2024-01-03 13:00:00,7326,732,2227.51,10206,2024-01-04 13:00:00,Time_288,-0.2953971025943734,1000.0,12.5,0.002,125.0,125.0,125.0,250.0,0.0,750.0,-0.3692463782429668,0.25,-0.6192463782429668,1005.75,1005.130753621757,0.5130753621757078,1005.75,0.0615706068350007,ACTIVE,True
4,short,12,2.5,2.0,6,2024-01-03 19:05:00,8055,805,7.687,10935,2024-01-04 19:05:00,TP,2.5,1000.0,12.5,0.002,125.0,125.0,125.0,375.0,0.0,625.0,3.125,0.25,2.875,1005.130753621757,1008.005753621757,0.8005753621757039,1008.005753621757,0.0,ACTIVE,True
5,short,13,2.0,1.25,1,2024-01-04 10:55:00,9950,995,0.5665,12830,2024-01-05 10:55:00,SL,-1.25,1005.75,12.5,0.002,125.71875,125.71875,125.71875,250.0,0.0,755.75,-1.571484375,0.2514375,-1.822921875,1008.005753621757,1006.182831746757,0.6182831746756934,1008.005753621757,0.1808443918549349,ACTIVE,True
6,short,4,2.5,1.25,4,2024-01-05 01:15:00,11673,1167,43977.68,14553,2024-01-06 01:15:00,TP,2.5,1008.005753621757,12.5,0.002,126.00071920271962,126.00071920271962,126.00071920271962,125.71875,0.0,882.287003621757,3.150017980067991,0.25200143840543926,2.8980165416625514,1006.182831746757,1009.0808482884195,0.9080848288419485,1009.0808482884195,0.0,ACTIVE,True
7,short,12,2.5,2.0,1,2024-01-05 02:15:00,11790,1179,0.5545,14670,2024-01-06 02:15:00,TP,2.5,1008.005753621757,12.5,0.002,126.00071920271962,126.00071920271962,126.00071920271962,251.7194692027196,125.71875,756.2862844190374,3.150017980067991,0.25200143840543926,2.8980165416625514,1009.0808482884195,1011.978864830082,1.1978864830082037,1011.978864830082,0.0,ACTIVE,True
8,short,12,2.5,2.0,1,2024-01-05 03:00:00,11880,1188,0.5549,14760,2024-01-06 03:00:00,TP,2.5,1008.005753621757,12.5,0.002,126.00071920271962,126.00071920271962,126.00071920271962,377.7201884054392,251.7194692027196,630.2855652163178,3.150017980067991,0.25200143840543926,2.8980165416625514,1011.978864830082,1014.8768813717445,1.4876881371744588,1014.8768813717445,0.0,ACTIVE,True
9,short,4,2.5,1.25,4,2024-01-05 16:15:00,13473,1347,43501.18,16353,2024-01-06 16:15:00,SL,-1.25,1006.182831746757,12.5,0.002,125.77285396834462,125.77285396834462,125.77285396834462,378.0021576081588,126.00071920271962,628.1806741385981,-1.5721606746043078,0.25154570793668923,-1.823706382540997,1014.8768813717445,1013.0531749892035,1.3053174989203553,1014.8768813717445,0.17969730279755733,ACTIVE,True
10,short,5,2.5,1.5,8,2024-01-06 07:30:00,15307,1530,93.21,18187,2024-01-07 07:30:00,SL,-1.5,1014.8768813717445,12.5,0.002,126.85961017146806,126.85961017146806,126.85961017146806,125.77285396834462,0.0,889.1040274033999,-1.9028941525720209,0.25371922034293615,-2.156613372914957,1013.0531749892035,1010.8965616162885,1.0896561616288603,1014.8768813717445,0.3921973027975606,ACTIVE,True
11,short,1,2.5,1.0,5,2024-01-06 08:00:00,15364,1536,0.08001,18244,2024-01-07 08:00:00,SL,-1.0,1014.8768813717445,12.5,0.002,126.85961017146806,126.85961017146806,126.85961017146806,252.63246413981267,0.0,762.2444172319318,-1.2685961017146807,0.25371922034293615,-1.5223153220576169,1010.8965616162885,1009.3742462942309,0.9374246294231003,1014.8768813717445,0.5421973027975568,ACTIVE,True
12,short,4,2.5,1.25,7,2024-01-06 20:55:00,16916,1691,2241.77,19796,2024-01-07 20:55:00,Time_288,0.12133269693143366,1013.0531749892035,12.5,0.002,126.63164687365044,126.63164687365044,126.63164687365044,253.71922034293607,0.0,759.3339546462674,0.15364559232048958,0.2532632937473009,-0.09961770142681131,1009.3742462942309,1009.2746285928041,0.9274628592804035,1014.8768813717445,0.5520130453034054,ACTIVE,True
13,short,5,2.5,1.5,8,2024-01-08 00:00:00,20167,2016,89.61,23047,2024-01-09 00:00:00,TP,2.5,1009.2746285928041,12.5,0.002,126.15932857410051,126.15932857410051,126.15932857410051,-7.105427357601002e-14,0.0,1009.2746285928042,3.153983214352513,0.252318657148201,2.901664557204312,1009.2746285928041,1012.1762931500084,1.2176293150008455,1014.8768813717445,0.26610008280865405,ACTIVE,True
14,short,4,2.5,1.25,4,2024-01-08 02:20:00,20443,2044,43703.02,23323,2024-01-09 02:20:00,SL,-1.25,1009.2746285928041,12.5,0.002,126.15932857410051,126.15932857410051,126.15932857410051,126.15932857410044,0.0,883.1153000187037,-1.5769916071762564,0.252318657148201,-1.8293102643244574,1012.1762931500084,1010.3469828856839,1.034698288568392,1014.8768813717445,0.4463495591640435,ACTIVE,True
15,short,13,2.0,1.25,2,2024-01-08 07:20:00,21041,2104,33.09,23921,2024-01-09 07:20:00,TP,2.0,1009.2746285928041,12.5,0.002,126.15932857410051,126.15932857410051,126.15932857410051,252.31865714820094,0.0,756.9559714446032,2.5231865714820105,0.252318657148201,2.2708679143338095,1010.3469828856839,1012.6178508000178,1.2617850800017871,1014.8768813717445,0.22259158851597227,ACTIVE,True
16,short,13,2.0,1.25,6,2024-01-08 07:20:00,21045,2104,6.953,23925,2024-01-09 07:20:00,SL,-1.25,1009.2746285928041,12.5,0.002,126.15932857410051,126.15932857410051,126.15932857410051,378.47798572230147,0.0,630.7966428705026,-1.5769916071762564,0.252318657148201,-1.8293102643244574,1012.6178508000178,1010.7885405356933,1.0788540535693336,1014.8768813717445,0.40284106487136173,ACTIVE,True
17,short,9,3.5,1.5,6,2024-01-08 20:15:00,22595,2259,7.446,25475,2024-01-09 20:15:00,TP,3.5,1009.2746285928041,12.5,0.002,126.15932857410051,126.15932857410051,126.15932857410051,504.637314296402,126.15932857410051,504.6373142964021,4.415576500093518,0.252318657148201,4.163257842945317,1010.7885405356933,1014.9517983786386,1.4951798378638692,1014.9517983786386,0.0,ACTIVE,True
18,short,8,2.5,1.75,2,2024-01-09 05:55:00,23751,2375,37.14,26631,2024-01-10 05:55:00,TP,2.5,1010.3469828856839,12.5,0.002,126.29337286071049,126.29337286071049,126.29337286071049,378.47798572230147,126.15932857410051,631.8689971633825,3.1573343215177623,0.252586745721421,2.9047475757963412,1014.9517983786386,1017.856545954435,1.7856545954435088,1017.856545954435,0.0,ACTIVE,True
